"event","experiment time","system time","system time text"
"START",0.000000000E0,1769567332.317,"2026-01-28 07:58:52.317 UTC+05:30"
"PAUSE",1.593848893E2,1769567491.702,"2026-01-28 08:01:31.702 UTC+05:30"
