"event","experiment time","system time","system time text"
"START",0.000000000E0,1769581081.092,"2026-01-28 11:48:01.092 UTC+05:30"
"PAUSE",7.434683424E1,1769581155.439,"2026-01-28 11:49:15.439 UTC+05:30"
