"event","experiment time","system time","system time text"
"START",0.000000000E0,1767026797.173,"2025-12-29 22:16:37.173 UTC+05:30"
"PAUSE",6.095710518E1,1767026858.130,"2025-12-29 22:17:38.130 UTC+05:30"
