"event","experiment time","system time","system time text"
"START",0.000000000E0,1769751308.788,"2026-01-30 11:05:08.788 UTC+05:30"
"PAUSE",8.278564325E1,1769751391.574,"2026-01-30 11:06:31.574 UTC+05:30"
