"event","experiment time","system time","system time text"
"START",0.000000000E0,1767024338.315,"2025-12-29 21:35:38.315 UTC+05:30"
"PAUSE",4.405230311E1,1767024382.367,"2025-12-29 21:36:22.367 UTC+05:30"
