"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.584580400E-2,-2.977411747E-1,-6.716487408E-1,-6.165213138E-2
6.603767900E-2,-1.155811027E-1,-4.585959911E-1,-9.041424841E-2
8.622882500E-2,-1.464737505E-1,-4.436823130E-1,-1.850895584E-2
1.064160120E-1,-3.089264631E-1,-6.524739861E-1,9.653951973E-2
1.266030960E-1,-4.266380966E-1,-1.060469985E0,5.499423668E-2
1.468010120E-1,-4.814991653E-1,-1.462074399E0,-6.591318548E-2
1.669773660E-1,-3.818970025E-1,-1.688442826E0,-8.189214021E-2
1.871541370E-1,-1.715074480E-1,-1.798165083E0,-1.584579609E-2
2.073317410E-1,1.331579592E-2,-1.970737696E0,4.593949392E-2
2.275104910E-1,9.800425172E-2,-2.069807291E0,6.511423737E-2
2.476907000E-1,1.012000442E-1,-1.887114525E0,-3.715106845E-2
2.678725750E-1,4.314317927E-2,-1.353950143E0,-1.825595498E-1
2.880562210E-1,-8.575372398E-2,-1.219726920E0,-2.773680091E-1
3.082417410E-1,-2.008021921E-1,-1.270326853E0,-3.471427858E-1
3.284291370E-1,-2.221074700E-1,-1.525457501E0,-3.775027990E-1
3.486183040E-1,-2.119874656E-1,-1.832253456E0,-2.928143442E-1
3.688090330E-1,-2.338253707E-1,-2.067144156E0,9.867004305E-2
3.890011160E-1,-2.599243224E-1,-2.653039217E0,8.177229762E-1
4.091943460E-1,-3.579285741E-1,-3.459976196E0,1.343430638E0
4.293884080E-1,-4.953475893E-1,-4.387820721E0,1.647030711E0
4.495829910E-1,-4.197138846E-1,-4.527903080E0,1.854224563E0
4.697777830E-1,-1.209074259E-1,-3.891940594E0,1.973534107E0
4.899717410E-1,9.108003974E-2,-3.735347033E0,2.157292128E0
5.101588250E-1,2.551306486E-1,-4.455465317E0,2.103496313E0
5.303404910E-1,4.037349224E-1,-5.536707878E0,1.697098136E0
5.505225750E-1,5.075981021E-1,-6.425670147E0,1.714674950E0
5.707052830E-1,6.151897311E-1,-6.352699757E0,2.645182848E0
5.908887210E-1,6.375603080E-1,-5.527653217E0,4.131758213E0
6.110729910E-1,8.522109389E-1,-4.739890575E0,5.104876518E0
6.312582000E-1,1.298023701E0,-4.147603989E0,5.603419781E0
6.514443460E-1,1.643169165E0,-3.374755144E0,5.395160675E0
6.716314290E-1,1.829590321E0,-2.574209690E0,4.599941730E0
6.918194500E-1,1.987249374E0,-2.205095768E0,3.774894953E0
7.120083040E-1,2.083655596E0,-1.850362897E0,3.035601854E0
7.321978870E-1,1.563274384E0,-1.788045049E0,2.169009924E0
7.523880960E-1,-1.372592211E0,-2.175268412E0,9.929588437E-1
7.725788250E-1,-2.320144176E0,-6.343644857E-1,3.229080439E-1
7.927698660E-1,-4.351601899E-1,-1.202682614E0,-3.647196293E-1
8.129610120E-1,1.520131230E0,-4.547610283E0,-9.154609442E-1
8.331629910E-1,2.730270624E0,-5.625124454E0,-6.081323624E-1
8.533401790E-1,2.231727362E0,-3.968639612E0,5.925529078E-2
8.735176790E-1,1.826927185E0,-2.125733614E0,-4.318312407E-1
8.936959080E-1,1.995771408E0,-5.283707380E-1,-1.684048653E0
9.138751790E-1,1.592036486E0,2.284990549E-1,-2.601240635E0
9.340558040E-1,9.523456693E-1,3.478085697E-1,-2.812162876E0
9.542379910E-1,5.320991874E-1,6.556697488E-1,-2.601240635E0
9.744218460E-1,4.138549268E-1,1.795501828E0,-2.588990211E0
9.946074710E-1,-5.544697046E-1,2.096438885E0,-1.107208371E0
1.014794762E0,-6.854971647E-1,1.516935468E0,4.992091656E-1
1.034983721E0,-8.495477438E-1,6.274402738E-1,2.430132627E-1
1.055174137E0,-6.902908683E-1,3.328948915E-1,-6.193176508E-1
1.075365908E0,-6.231792271E-2,1.033305749E-1,-1.596164465E0
1.095558721E0,4.431496859E-1,3.680485785E-1,-1.005475760E0
1.115752366E0,-1.661811322E-1,6.157223582E-1,3.010701239E-1
1.135946533E0,-5.145223141E-1,9.614004493E-1,-2.070606202E-1
1.156140908E0,-5.795034170E-1,9.438235760E-1,-1.798963994E-1
1.176334346E0,-8.026761413E-1,3.866907060E-1,6.840324402E-1
1.196521533E0,-3.818970025E-1,-4.000065029E-1,9.519461989E-1
1.216708616E0,1.139832065E-1,-4.111917615E-1,4.246407151E-1
1.236890283E0,-1.986716688E-1,3.520696461E-1,2.280995846E-1
1.257072366E0,-4.420844018E-1,7.158571482E-1,3.133206666E-1
1.277255075E0,2.769685537E-2,3.488738537E-1,2.861564457E-1
1.297438512E0,5.763076544E-1,-3.408843651E-2,-8.988162130E-2
1.317622783E0,7.829687595E-1,-8.894951642E-2,-1.884185076E-1
1.337807991E0,8.191877604E-1,-6.657897681E-2,-1.713742912E-1
1.357994137E0,7.467498183E-1,-9.587372839E-2,-1.531316526E-2
1.378181221E0,5.134570599E-1,-8.735162020E-2,3.282343447E-1
1.398369241E0,5.592634082E-1,-4.037349224E-1,5.024049878E-1
1.418558096E0,2.471411675E-1,-3.073285520E-1,5.306344628E-1
1.438747679E0,-1.581916511E-1,-4.580633715E-2,8.843019605E-1
1.458937887E0,-4.964128435E-1,3.121222556E-1,-1.159805804E-1
1.479128616E0,-6.876276731E-1,7.121287584E-1,-7.897598147E-1
1.499319658E0,-7.893603444E-1,1.415735364E0,-1.032639980E0
1.519510804E0,-8.948214650E-1,1.764609218E0,-1.031042099E0
1.539712783E0,-5.704486966E-1,1.370994329E0,-5.788376331E-1
1.559889866E0,-2.018674612E-1,6.546044946E-1,-2.809632942E-2
1.580067262E0,3.818970025E-1,1.757685095E-2,1.162468940E-1
1.600245387E0,5.155876279E-1,-3.020022511E-1,9.334372729E-2
1.620424554E0,2.503369451E-1,-1.528653353E-1,2.563290596E-1
1.640605075E0,4.894886315E-1,-1.342232227E-1,2.371543199E-1
1.660787158E0,5.193160176E-1,-1.150484756E-1,5.572660565E-1
1.680970908E0,1.592569202E-1,-5.326318205E-4,5.982787013E-1
1.701156429E0,3.350254297E-1,-2.732401192E-1,2.579269707E-1
1.721343721E0,6.301034689E-1,-5.640571117E-1,-2.475406379E-1
1.741532679E0,7.472824454E-1,-3.382211924E-1,-4.344944060E-1
1.761723200E0,7.765771747E-1,-1.885516644E-1,-6.858966351E-1
1.781915075E0,2.838927507E-1,1.336905807E-1,-7.625955939E-1
1.802107991E0,-6.024065614E-1,1.111602664E0,-5.165197253E-1
1.822301741E0,-1.005608916E0,1.564872265E0,-1.248888493E0
1.842496012E0,-4.964128435E-1,1.523859620E0,-2.028661489E0
1.862690491E0,-6.791055799E-1,2.076731443E0,-2.625209093E0
1.882884531E0,-8.815056682E-1,2.018141985E0,-3.347990513E0
1.903071718E0,-4.261054471E-2,4.053328037E-1,-2.555434227E0
1.923258802E0,1.149952054E0,-7.494129539E-1,-7.833682299E-1
1.943440468E0,8.756467104E-1,-6.476802826E-1,1.668469161E-1
1.963622552E0,-6.072002649E-1,-4.261054471E-2,2.158490419E-1
1.983805156E0,-6.775076985E-1,-4.612591565E-1,-3.364901543E-1
2.003988489E0,7.062698007E-1,-1.716672301E0,-4.989428520E-1
2.024172656E0,1.492967010E0,-2.188051462E0,-1.910816729E-1
2.044357760E0,1.278849006E0,-1.839710355E0,-6.949513555E-1
2.064543802E0,1.215465784E0,-1.425855398E0,-1.489638090E0
2.084730781E0,1.455682755E0,-1.440236449E0,-1.482181191E0
2.104918698E0,1.706019759E0,-1.387505889E0,-9.511472583E-1
2.125107552E0,1.434377551E0,-8.239814043E-1,-4.952144325E-1
2.145297239E0,5.310339332E-1,1.139832065E-1,-1.282311082E-1
2.165487552E0,-7.414234877E-1,1.254880548E0,5.073318258E-2
2.185678385E0,-1.604819655E0,2.342514753E0,-7.290397882E-1
