"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.177756500E-2,-4.635174274E0,4.405331135E0,6.782773495E0
3.164421800E-2,-3.117250681E0,4.058171749E0,7.117961884E0
5.154138700E-2,-1.007958889E0,4.039018154E0,9.119514465E0
7.143855600E-2,2.825157940E-1,2.935291290E0,1.028788471E1
9.130520800E-2,-5.027823523E-2,2.647987127E0,1.073081207E1
1.112023770E-1,-1.589749932E0,3.442862034E0,1.044829655E1
1.310995460E-1,-2.114080191E0,3.404554844E0,9.337387085E0
1.509661980E-1,-2.875436306E0,2.889801502E0,8.796297073E0
1.708633670E-1,-1.915361404E0,2.427720547E0,9.088389397E0
1.907605360E-1,-2.300827742E0,2.482787132E0,1.140597725E1
2.106577060E-1,-1.381454349E0,2.051830769E0,1.155920601E1
2.305243570E-1,-2.274491638E-1,1.209071875E0,9.133879662E0
2.504215260E-1,3.615244627E-1,4.692635238E-1,8.303091049E0
2.703186960E-1,-2.537853718E-1,-1.077390760E-1,8.231265068E0
2.901853480E-1,-1.687912226E0,-4.979939461E-1,8.262390137E0
3.100825180E-1,-5.861005783E0,-1.115697980E0,1.684081459E1
3.299796870E-1,-6.426037312E0,-2.657563984E-1,1.035731697E1
3.498463380E-1,-4.175487995E0,-7.086837292E-1,8.513781548E0
3.697435080E-1,-3.035847664E0,-1.161187768E0,9.600749016E0
3.896406770E-1,-2.444479942E0,-1.618480325E0,9.406818390E0
4.095073290E-1,-3.433285236E0,-2.217030764E0,6.526593685E0
4.294044980E-1,-3.268085241E0,-1.350329757E0,4.031835556E0
4.493016670E-1,-4.134786129E0,-1.163581967E0,3.045424461E0
4.691683190E-1,-5.382165432E0,2.346317619E-1,3.790021181E0
4.890654880E-1,-3.399766445E0,-1.292868853E-1,4.323928356E0
5.089626570E-1,-4.295197964E0,-4.548983276E-1,6.505045891E0
5.288293100E-1,-3.224989653E0,-2.585737705E-1,7.046135426E0
5.487264790E-1,-1.003170490E0,-6.991068721E-1,5.758055210E0
5.686236480E-1,-8.307880163E-1,-9.840168953E-1,3.347094059E0
5.884903000E-1,-1.300051570E0,-8.858546615E-2,6.967126727E-1
6.083874690E-1,-1.855506301E0,9.289502501E-1,-7.876923680E-1
6.282846380E-1,-1.163581967E0,3.016694188E-1,-1.620874524E0
6.481512900E-1,1.733402014E0,-3.035847664E0,-1.149216771E0
6.680484590E-1,3.727771997E0,-4.979939461E0,-1.005564705E-1
6.879151110E-1,4.019864559E0,-5.027823448E0,2.688688517E0
7.078122800E-1,4.165910721E0,-6.150704384E0,3.143586874E0
7.277094490E-1,5.916072369E0,-7.393294811E0,5.475539207E0
7.475761020E-1,9.186552048E0,-8.913613319E0,7.771578789E0
7.674732710E-1,1.355836391E1,-1.016817474E1,8.698134422E0
7.873704400E-1,1.780807304E1,-1.175074196E1,7.850587368E0
8.072676080E-1,1.873702240E1,-1.027112484E1,5.908889771E0
8.271342610E-1,2.013763046E1,-9.967061996E0,2.432508945E0
8.470314300E-1,2.092532349E1,-1.018493366E1,1.419761658E0
8.669286000E-1,2.013523674E1,-9.868899345E0,6.272808313E-1
8.867952510E-1,1.965879059E1,-9.974244118E0,2.298433542E0
9.066924200E-1,1.786313820E1,-9.066842079E0,2.358288765E0
9.265895900E-1,1.601721001E1,-8.566453934E0,1.142034173E0
9.464562410E-1,1.399889755E1,-8.015787125E0,-3.639186621E-1
9.663534110E-1,1.191354752E1,-7.275979042E0,-5.171475410E-1
9.862505800E-1,1.141794777E1,-6.979097843E0,-3.878606856E-1
1.006117232E0,1.124077702E1,-7.402871609E0,-8.212111592E-1
