"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.543495800E-2,-2.474694014E0,2.947905779E0,9.019762993E0
3.573422900E-2,-2.519596100E0,2.911090612E0,9.019288063E0
5.584735400E-2,-2.563695192E0,2.833061457E0,9.031700134E0
7.611771800E-2,-2.610441923E0,2.730186224E0,9.049976349E0
9.638797900E-2,-2.678249359E0,2.622154951E0,9.062100410E0
1.166583960E-1,-2.777953863E0,2.497409582E0,9.067320824E0
1.369287600E-1,-2.904274464E0,2.345844984E0,9.068218231E0
1.571991770E-1,-3.004817486E0,2.163730621E0,9.080733299E0
1.774696460E-1,-3.025812149E0,1.951241851E0,9.121815681E0
1.977400100E-1,-3.022672415E0,1.701263309E0,9.172760963E0
2.180105310E-1,-3.088064909E0,1.386464477E0,9.203908920E0
2.382810000E-1,-3.222037077E0,9.642660022E-1,9.211897850E0
2.585515210E-1,-3.325543880E0,4.971559942E-1,9.212164879E0
2.788220410E-1,-3.394546032E0,1.084598228E-1,9.199765205E0
2.990925100E-1,-3.460075378E0,-1.563607901E-1,9.174629211E0
3.193629790E-1,-3.582947254E0,-4.144507349E-1,9.119271278E0
3.396335520E-1,-3.817211628E0,-7.837337255E-1,8.999168396E0
3.599040730E-1,-4.193223476E0,-1.308019638E0,8.767915726E0
3.801745410E-1,-4.695621014E0,-1.973149657E0,8.380227089E0
4.004450620E-1,-5.266412258E0,-2.705605268E0,7.817606926E0
4.207156350E-1,-5.771733761E0,-3.371382713E0,7.175740719E0
4.411156350E-1,-6.195067406E0,-3.890654802E0,6.531029224E0
4.612566770E-1,-6.573177338E0,-4.288802624E0,5.879616737E0
4.815271980E-1,-6.957532406E0,-4.629105091E0,5.131717205E0
5.017977180E-1,-7.286164761E0,-4.878419876E0,4.391265869E0
5.220683430E-1,-7.598382950E0,-4.994201660E0,3.673267841E0
5.424683430E-1,-7.886607170E0,-4.966119289E0,3.051143169E0
5.626094370E-1,-8.167999268E0,-4.794363022E0,2.543278694E0
5.828800100E-1,-8.445602417E0,-4.524757862E0,2.090154886E0
6.031505830E-1,-8.685411453E0,-4.227879047E0,1.690878630E0
6.234211560E-1,-8.887883186E0,-3.919912815E0,1.345438480E0
6.438211560E-1,-9.068589211E0,-3.593344212E0,1.009424567E0
6.639623020E-1,-9.229161263E0,-3.239639759E0,7.054811716E-1
6.842328750E-1,-9.376890182E0,-2.838069916E0,4.355228841E-1
7.045034480E-1,-9.489825249E0,-2.459927559E0,2.497416586E-1
7.247740210E-1,-9.556924820E0,-2.196193695E0,1.109270677E-1
7.451740210E-1,-9.595925331E0,-2.021699429E0,3.666524962E-2
7.653152180E-1,-9.623142242E0,-1.888173580E0,1.770946011E-2
7.855857910E-1,-9.644519806E0,-1.775830746E0,6.329397205E-3
8.058564160E-1,-9.671821594E0,-1.619805455E0,-4.989106208E-2
8.261269890E-1,-9.696065903E0,-1.466334343E0,-8.089538664E-2
8.463976140E-1,-9.712364197E0,-1.356389523E0,-2.368909121E-2
8.666681870E-1,-9.715620041E0,-1.331906199E0,5.600229278E-2
8.869388120E-1,-9.693496704E0,-1.484413385E0,5.504642427E-2
9.072094370E-1,-9.617503166E0,-1.916694999E0,-1.752343774E-2
9.274800620E-1,-9.470924377E0,-2.543943405E0,-1.826940291E-2
9.477506870E-1,-9.242142677E0,-3.278699636E0,-5.759834871E-2
9.680213120E-1,-8.919333458E0,-4.075340271E0,-8.648779243E-2
9.882919370E-1,-8.586145401E0,-4.737742424E0,-4.777631909E-2
1.008562562E0,-8.399580956E0,-5.060797215E0,-7.586042583E-2
1.028833239E0,-8.395297050E0,-5.064142704E0,-2.093628347E-1
1.049103864E0,-8.394215584E0,-5.048525810E0,-4.689657390E-1
1.069374541E0,-8.497385979E0,-4.853127956E0,-6.418535709E-1
1.089774541E0,-8.626879692E0,-4.609005451E0,-7.102164626E-1
1.109915843E0,-8.697920799E0,-4.475013256E0,-7.005743384E-1
1.130186468E0,-8.751271248E0,-4.362593651E0,-7.439224124E-1
1.150457146E0,-8.746796608E0,-4.391658783E0,-6.142292619E-1
1.170727823E0,-8.568904877E0,-4.736485958E0,-5.567388535E-1
1.190998448E0,-8.072199821E0,-5.478627205E0,-9.973018765E-1
1.211269229E0,-7.362150669E0,-6.330565453E0,-1.375888944E0
1.231539906E0,-6.501760483E0,-7.185962677E0,-1.503141642E0
1.251810531E0,-5.599728584E0,-7.927098274E0,-1.405179620E0
1.272081312E0,-5.071417332E0,-8.298235893E0,-1.261114240E0
1.292351989E0,-4.828429222E0,-8.470486641E0,-1.052384496E0
1.312622718E0,-4.676775455E0,-8.574913025E0,-8.769403100E-1
1.332893448E0,-4.557547569E0,-8.643676758E0,-8.282568455E-1
1.353164125E0,-4.565998554E0,-8.634820938E0,-8.728724122E-1
1.373434854E0,-4.580526829E0,-8.599843979E0,-1.109879494E0
1.393705583E0,-4.620928288E0,-8.534363747E0,-1.407851696E0
1.413976312E0,-4.714254379E0,-8.474654198E0,-1.458225965E0
1.434247093E0,-4.729757309E0,-8.487238884E0,-1.329115868E0
1.454517823E0,-4.724838257E0,-8.497587204E0,-1.279569387E0
1.474788552E0,-4.494892597E0,-8.621596336E0,-1.278433800E0
1.495059333E0,-4.217086315E0,-8.760162354E0,-1.283022523E0
1.515330062E0,-3.913201332E0,-8.901748657E0,-1.271265388E0
1.535600843E0,-3.773544550E0,-8.965106964E0,-1.248039007E0
1.555871625E0,-3.820983410E0,-8.941467285E0,-1.273035049E0
1.576142406E0,-3.913824320E0,-8.890233040E0,-1.347639918E0
1.596413187E0,-3.936488390E0,-8.905541420E0,-1.168675423E0
1.616683968E0,-3.939005375E0,-8.914253235E0,-1.091199517E0
1.636954750E0,-3.933049917E0,-8.924799919E0,-1.024425864E0
1.657225531E0,-3.968054533E0,-8.915490150E0,-9.690112472E-1
1.677496312E0,-4.011878014E0,-8.892358780E0,-1.000586510E0
1.697767093E0,-3.910891056E0,-8.930138588E0,-1.062054038E0
1.718037927E0,-3.643345833E0,-9.017040253E0,-1.260712862E0
1.738308708E0,-3.444299221E0,-9.054271698E0,-1.525570393E0
1.758579541E0,-3.191739082E0,-9.116138458E0,-1.696817636E0
1.778850375E0,-2.590957403E0,-9.258682251E0,-1.932388544E0
1.799121156E0,-1.977249861E0,-9.375334740E0,-2.089011908E0
1.819391989E0,-1.507282257E0,-9.482259750E0,-1.996307969E0
1.839791989E0,-9.898411036E-1,-9.555531502E0,-1.970381856E0
1.859933656E0,-5.278608203E-1,-9.583190918E0,-2.013508081E0
1.880204489E0,-1.613920331E-1,-9.573391914E0,-2.120023727E0
1.900604489E0,2.239247710E-1,-9.557951927E0,-2.183072567E0
1.920746156E0,6.100342274E-1,-9.548232079E0,-2.151628017E0
1.941146156E0,9.312285185E-1,-9.537592888E0,-2.082671881E0
1.961287875E0,1.142283440E0,-9.516647339E0,-2.073403597E0
1.981558656E0,1.251624227E0,-9.498188972E0,-2.094811201E0
2.001829593E0,1.281312943E0,-9.482325554E0,-2.148051023E0
2.022100427E0,1.258377910E0,-9.467034340E0,-2.227581978E0
2.042500427E0,1.216127992E0,-9.449005127E0,-2.325450420E0
2.062642146E0,1.181298733E0,-9.425492287E0,-2.436186314E0
2.082913031E0,1.151645541E0,-9.422451973E0,-2.462009668E0
2.103183916E0,1.161539793E0,-9.441916466E0,-2.381476879E0
2.123454750E0,1.181979895E0,-9.465380669E0,-2.275933266E0
2.143854750E0,1.188645005E0,-9.493110657E0,-2.153684378E0
2.163996521E0,1.177860498E0,-9.525444984E0,-2.012196541E0
2.184267406E0,1.135809779E0,-9.563323021E0,-1.850178003E0
2.204538291E0,1.059470177E0,-9.601487160E0,-1.690962315E0
2.224809177E0,9.629172683E-1,-9.634900093E0,-1.553025723E0
2.245209177E0,8.187370896E-1,-9.658329964E0,-1.488861680E0
2.265350948E0,6.540532708E-1,-9.643504143E0,-1.656933904E0
2.285621833E0,5.231963992E-1,-9.637420654E0,-1.736884475E0
2.305892718E0,4.668354094E-1,-9.652536392E0,-1.667637229E0
2.326163604E0,4.589271247E-1,-9.662469864E0,-1.611353040E0
2.346563604E0,4.687600732E-1,-9.665040016E0,-1.593000174E0
2.366705427E0,4.753886461E-1,-9.666870117E0,-1.579883337E0
2.386976312E0,4.784762263E-1,-9.669914246E0,-1.560193777E0
2.407247198E0,4.737619758E-1,-9.673589706E0,-1.538702607E0
2.427518135E0,4.649987519E-1,-9.677509308E0,-1.516567945E0
2.447789021E0,4.522204697E-1,-9.680772781E0,-1.499509811E0
2.468059958E0,4.391772449E-1,-9.684342384E0,-1.480209589E0
2.488330843E0,4.296715558E-1,-9.689363480E0,-1.449821591E0
2.508601781E0,4.266987443E-1,-9.694864273E0,-1.413484573E0
2.528872666E0,4.305739701E-1,-9.700724602E0,-1.371474624E0
2.549143604E0,4.351441264E-1,-9.707978249E0,-1.317641854E0
2.569414541E0,4.288606644E-1,-9.717458725E0,-1.247974396E0
2.589685427E0,3.921154439E-1,-9.730292320E0,-1.156728506E0
2.609956364E0,3.087078333E-1,-9.747118950E0,-1.033811569E0
2.630227302E0,1.705631316E-1,-9.766266823E0,-8.725490570E-1
2.650498187E0,-3.169331700E-2,-9.783266068E0,-6.760903597E-1
2.670769073E0,-3.097791970E-1,-9.791108131E0,-4.567445517E-1
2.691040062E0,-6.520453095E-1,-9.782060623E0,-2.377050668E-1
2.711311000E0,-1.022441983E0,-9.753160477E0,-2.928461879E-2
2.731581885E0,-1.372096539E0,-9.708335876E0,1.896106303E-1
2.751852823E0,-1.633486390E0,-9.661225319E0,4.035306573E-1
2.772252823E0,-1.813025355E0,-9.619352341E0,5.927780271E-1
2.792394698E0,-1.895183444E0,-9.594004631E0,7.305852175E-1
2.812665635E0,-1.906892538E0,-9.586258888E0,7.986134887E-1
2.832936521E0,-1.890385628E0,-9.589561462E0,7.981970906E-1
2.853207458E0,-1.876033306E0,-9.596467972E0,7.474536896E-1
2.873478396E0,-1.881227732E0,-9.601806641E0,6.608141065E-1
2.893749333E0,-1.902516127E0,-9.604429245E0,5.529407263E-1
2.914020271E0,-1.930956721E0,-9.604740143E0,4.367499053E-1
2.934291208E0,-1.952710509E0,-9.604344368E0,3.374499977E-1
2.954562146E0,-1.958292127E0,-9.605654716E0,2.586280107E-1
2.974833031E0,-1.945767283E0,-9.610007286E0,1.793096066E-1
2.994595166E0,-1.917542219E0,-9.616820335E0,1.008942723E-1
3.014995166E0,-1.881239414E0,-9.624505043E0,1.547040138E-2
3.035395166E0,-1.862052202E0,-9.627821922E0,-9.053155035E-2
3.055795166E0,-1.863419414E0,-9.625717163E0,-2.088301927E-1
3.076191052E0,-1.900593758E0,-9.614481926E0,-3.462144732E-1
3.096461989E0,-1.952261090E0,-9.597132683E0,-5.040930510E-1
3.116731677E0,-1.983968854E0,-9.582739830E0,-6.366760135E-1
3.137002198E0,-1.989663959E0,-9.578474045E0,-6.815124154E-1
3.157272823E0,-1.963525057E0,-9.585563660E0,-6.572073698E-1
3.177543448E0,-1.917144656E0,-9.597771645E0,-6.146051884E-1
3.197814177E0,-1.872063756E0,-9.608869553E0,-5.791403055E-1
3.218084906E0,-1.839411974E0,-9.615522385E0,-5.733118653E-1
3.238355739E0,-1.835515261E0,-9.612564087E0,-6.323649883E-1
3.258626573E0,-1.857544422E0,-9.601361275E0,-7.306110859E-1
3.278897406E0,-1.929246426E0,-9.580874443E0,-8.094721437E-1
3.299168239E0,-2.050165892E0,-9.549426079E0,-8.807250857E-1
3.319439125E0,-2.261360407E0,-9.496714592E0,-9.322273731E-1
3.339710010E0,-2.618705273E0,-9.415906906E0,-8.083703518E-1
3.359980896E0,-2.896989107E0,-9.350729942E0,-5.845465064E-1
3.380251833E0,-2.978267670E0,-9.338994026E0,-2.889712155E-1
3.400522718E0,-2.932124615E0,-9.357431412E0,-1.072523892E-1
3.420793656E0,-2.779079199E0,-9.403654099E0,-1.356809884E-1
3.441064541E0,-2.580820322E0,-9.456661224E0,-2.851264477E-1
3.461335427E0,-2.392575741E0,-9.496392250E0,-5.143016577E-1
3.481606312E0,-2.245394707E0,-9.510178566E0,-8.277008533E-1
3.501877302E0,-2.195579529E0,-9.500216484E0,-1.046756864E0
3.522148187E0,-2.205281496E0,-9.489439011E0,-1.121453643E0
3.542548187E0,-2.179523230E0,-9.485845566E0,-1.199501753E0
3.562690062E0,-2.074863672E0,-9.492535591E0,-1.325552225E0
3.582960948E0,-1.931310892E0,-9.512262344E0,-1.399035335E0
3.603231885E0,-1.771633625E0,-9.538352966E0,-1.432309508E0
3.623502823E0,-1.629009366E0,-9.558238983E0,-1.468600154E0
3.643902823E0,-1.540279508E0,-9.565940857E0,-1.513509393E0
3.664044646E0,-1.529114723E0,-9.565335274E0,-1.528583407E0
3.684315531E0,-1.578971386E0,-9.563740730E0,-1.487317801E0
3.704586468E0,-1.658497214E0,-9.564145088E0,-1.395309687E0
3.724857354E0,-1.736139536E0,-9.569142342E0,-1.260047674E0
3.745257354E0,-1.793707967E0,-9.577542305E0,-1.106204152E0
3.765399177E0,-1.841050148E0,-9.585142136E0,-9.518351555E-1
3.785670114E0,-1.885542989E0,-9.590558052E0,-7.976999283E-1
3.805941000E0,-1.916882157E0,-9.595281601E0,-6.530746818E-1
3.826211937E0,-1.953722715E0,-9.596435547E0,-5.116337538E-1
3.846482823E0,-2.022144794E0,-9.588361740E0,-3.803109229E-1
3.866753708E0,-2.118212461E0,-9.571460724E0,-2.658847868E-1
3.887024593E0,-2.222247839E0,-9.550155640E0,-1.628801078E-1
3.907295479E0,-2.318771839E0,-9.528275490E0,-7.513469458E-2
3.927566416E0,-2.426720619E0,-9.501628876E0,2.163309604E-2
3.947837302E0,-2.554413557E0,-9.466015816E0,1.997432113E-1
3.968108187E0,-2.714723110E0,-9.411928177E0,4.650546014E-1
3.988379073E0,-2.989376783E0,-9.310013771E0,7.467565536E-1
4.008649958E0,-3.337652922E0,-9.172604561E0,9.454089403E-1
4.028920843E0,-3.597029209E0,-9.053404808E0,1.125893831E0
4.049191781E0,-3.830408812E0,-8.941101074E0,1.247027278E0
4.069462666E0,-4.029355049E0,-8.848378181E0,1.280974746E0
4.089733552E0,-4.158721447E0,-8.786754608E0,1.291653514E0
