"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.784204200E-2,-3.352480888E0,1.715445518E0,9.489418030E0
3.804527200E-2,-2.785055161E0,1.715445518E0,9.290699959E0
5.822287600E-2,-2.409165382E0,1.720233917E0,9.376891136E0
7.840079200E-2,-2.291849613E0,1.634042621E0,9.791088104E0
9.857933400E-2,-2.531269789E0,1.468842745E0,9.850942612E0
1.187588130E-1,-2.844910145E0,1.452083349E0,9.470264435E0
1.389395420E-1,-2.852092743E0,1.593341231E0,9.072827339E0
1.591217300E-1,-2.600701571E0,1.689109325E0,8.831012726E0
1.793054800E-1,-2.385223389E0,1.741781712E0,8.840589523E0
1.994908970E-1,-2.320580006E0,1.708262920E0,8.981847763E0
2.196778760E-1,-2.461838007E0,1.612494826E0,9.216479301E0
2.398664170E-1,-2.751536369E0,1.567005038E0,9.216479301E0
2.600564170E-1,-2.943072557E0,1.705868721E0,8.960299492E0
2.802476670E-1,-2.904765129E0,1.839944005E0,8.811859131E0
3.004399590E-1,-2.734776974E0,1.911770105E0,8.953117371E0
3.206329800E-1,-2.548029184E0,1.875856996E0,9.135076523E0
3.408264170E-1,-2.562394381E0,1.827973008E0,9.199720383E0
3.610200630E-1,-2.607884169E0,1.837549806E0,9.293093681E0
3.812126670E-1,-2.560000181E0,1.859097600E0,9.345766068E0
4.013994380E-1,-2.430713177E0,1.902193308E0,9.369708061E0
4.215807920E-1,-2.339733601E0,1.696291924E0,9.429563522E0
4.417625630E-1,-2.373252392E0,1.636436820E0,9.434351921E0
4.619449590E-1,-1.585560083E0,1.588552833E0,9.731232643E0
4.821280840E-1,-6.494272351E-1,1.250970364E0,1.000177765E1
5.023120420E-1,2.579752207E-1,7.888894677E-1,1.019091988E1
5.224969380E-1,1.373673201E0,3.004723191E-1,9.937133789E0
5.426827720E-1,1.926733851E0,-1.233013868E-1,9.673771858E0
5.628695420E-1,2.209249735E0,-7.266402245E-1,9.331400871E0
5.830572510E-1,2.501342297E0,-6.284779310E-1,9.443928719E0
6.032457920E-1,2.281075716E0,-4.967968464E-1,9.178172112E0
6.234350630E-1,2.218826532E0,-5.829881430E-1,9.331400871E0
6.436249590E-1,1.799841166E0,-4.704606235E-1,9.372102737E0
6.638153760E-1,1.490989089E0,2.837128937E-1,9.680954933E0
6.840061050E-1,1.342548609E0,5.374982953E-1,1.009036350E1
7.041970420E-1,1.385644197E0,4.668693244E-2,9.836577415E0
7.243988130E-1,1.629852772E0,-1.200692177E0,9.238027573E0
7.445758970E-1,1.854907751E0,-2.416946650E0,8.847772598E0
7.647532920E-1,2.319382906E0,-2.972401381E0,8.593987465E0
7.849314170E-1,3.068768024E0,-3.219004154E0,8.503006935E0
8.051105840E-1,3.535637379E0,-3.707421303E0,7.940370083E0
8.252910010E-1,3.806182146E0,-3.757699490E0,7.480683327E0
8.454728760E-1,1.874061346E0,-1.353921056E0,8.196549416E0
8.656564170E-1,6.410474777E-1,-2.908954918E-1,8.914810181E0
8.858416260E-1,1.062427044E0,-1.179144382E0,9.249998093E0
9.060285010E-1,1.452681899E0,-1.842338204E0,9.467870712E0
9.262170420E-1,1.488594890E0,-1.739387512E0,9.702502251E0
9.464070420E-1,1.548449993E0,-1.744175911E0,9.906009674E0
9.665983970E-1,1.569997787E0,-1.974019289E0,1.038006115E1
9.867907920E-1,1.969829440E0,-2.266111851E0,1.043752193E1
1.006984022E0,2.063203335E0,-2.622848034E0,9.779116631E0
1.027177772E0,1.335366011E0,-2.845508814E0,8.306682587E0
1.047371730E0,8.900445104E-1,-2.369062662E0,7.547720909E0
1.067565480E0,1.481412292E0,-1.957259893E0,7.856573105E0
1.087752355E0,2.056020737E0,-2.653972626E0,8.728062630E0
