"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.784204200E-2,1.820269227E-1,-4.356928170E-1,2.589922249E-1
3.804527200E-2,1.149153188E-1,-4.261054695E-1,2.435459048E-1
5.822287600E-2,5.193160381E-3,-2.860232890E-1,1.290300637E-1
7.840079200E-2,-2.942790836E-2,-3.675159439E-2,2.263685223E-3
9.857933400E-2,3.448791057E-2,1.608548164E-1,-7.070687413E-2
1.187588130E-1,1.000016257E-1,2.183790505E-1,-3.235738352E-2
1.389395420E-1,1.175784767E-1,1.544632316E-1,5.446160212E-2
1.591217300E-1,9.041424841E-2,6.870950758E-2,8.482161909E-2
1.793054800E-1,4.833633825E-2,2.290316857E-2,5.339634046E-2
1.994908970E-1,3.608580679E-2,9.054740891E-3,-2.010685205E-2
2.196778760E-1,5.632581562E-2,4.740423337E-2,-7.443529367E-2
2.398664170E-1,8.455529809E-2,1.342232227E-1,-6.591318548E-2
2.600564170E-1,7.603318989E-2,1.523326933E-1,-2.117211558E-2
2.802476670E-1,3.129211813E-2,6.870950758E-2,2.676474862E-2
3.004399590E-1,2.530001104E-3,-4.474107176E-2,3.262370080E-2
3.206329800E-1,2.223737910E-2,-9.108003974E-2,-6.791055668E-3
3.408264170E-1,4.034686089E-2,-1.097221524E-1,-5.046686530E-2
3.610200630E-1,3.502054140E-2,-1.565937549E-1,-5.845634267E-2
3.812126670E-1,9.986846708E-3,-2.982738316E-1,-8.934898674E-2
4.013994380E-1,-5.872265995E-2,-5.837644935E-1,-1.591237634E-1
4.215807920E-1,-1.913479865E-1,-1.037566781E0,-2.182458937E-1
4.417625630E-1,-3.964112401E-1,-1.588308096E0,-1.671132296E-1
4.619449590E-1,-6.265081763E-1,-2.256761074E0,-1.111868918E-1
4.821280840E-1,-7.926893234E-1,-2.929475069E0,-2.043974549E-1
5.023120420E-1,-8.347672224E-1,-3.190997124E0,-2.672480047E-1
5.224969380E-1,-9.514135718E-1,-2.474607468E0,-2.533995807E-1
5.426827720E-1,-1.138900042E0,-1.467933297E0,-1.637842879E-2
5.628695420E-1,-1.354083300E0,-1.100950003E0,1.348890066E-1
5.830572510E-1,-1.481382251E0,-1.465802789E0,-1.797632314E-2
6.032457920E-1,-1.587908626E0,-1.801360846E0,-2.960101366E-1
6.234350630E-1,-1.771666646E0,-1.585112333E0,-2.368880063E-1
6.436249590E-1,-1.898432970E0,-1.204813123E0,2.142511457E-1
6.638153760E-1,-1.690173984E0,-7.099981904E-1,7.617966533E-1
6.840061050E-1,-1.045156837E0,-6.194508076E-1,1.187902093E0
7.041970420E-1,-1.615206003E-1,-8.410256505E-1,1.390302181E0
7.243988130E-1,5.426186919E-1,-9.811078310E-1,1.432380080E0
7.445758970E-1,8.781766891E-1,-1.147288918E0,1.517068624E0
7.647532920E-1,9.191893935E-1,-1.212802649E0,1.531982303E0
7.849314170E-1,7.471492887E-1,-1.103613138E0,1.213468432E0
8.051105840E-1,3.924165070E-1,-9.544762373E-1,4.928175807E-1
8.252910010E-1,-1.226384789E-1,-7.297055721E-1,-6.725808382E-1
8.454728760E-1,-5.785713196E-1,-5.054675937E-1,-1.310673714E0
8.656564170E-1,-8.454198837E-1,-3.616569936E-1,-1.028378844E0
8.858416260E-1,-1.044624209E0,-5.645897239E-2,-6.800376773E-1
9.060285010E-1,-1.192695856E0,2.860232890E-1,-5.799028873E-1
9.262170420E-1,-1.229979992E0,4.564654827E-1,-5.458144546E-1
9.464070420E-1,-1.044624209E0,1.166463718E-1,-5.032039285E-1
9.665983970E-1,-5.945502520E-1,-5.086634159E-1,-4.408859909E-1
9.867907920E-1,-2.463422157E-2,-1.096688867E0,-3.940143883E-1
1.006984022E0,4.446144104E-1,-1.390701652E0,-2.858901322E-1
1.027177772E0,5.245091915E-1,-1.163267851E0,1.258342713E-1
1.047371730E0,1.250353158E-1,-8.745814562E-1,8.081356287E-1
1.067565480E0,-3.969438672E-1,-8.793751597E-1,1.372192740E0
1.087752355E0,-7.527419329E-1,-9.688572884E-1,1.779656053E0
1.107939126E0,-7.026745081E-1,-1.358211160E0,2.159955263E0
1.128120480E0,-2.776343226E-1,-2.001097679E0,2.223870993E0
1.148302251E0,3.412838280E-1,-2.386723280E0,2.312287807E0
1.168484647E0,8.733830452E-1,-2.788860321E0,2.554635286E0
1.188667772E0,1.251019001E0,-3.449856281E0,2.637725830E0
1.208851730E0,1.704288721E0,-3.283142567E0,2.743186951E0
1.229036626E0,2.069141388E0,-2.959302425E0,2.725077629E0
1.249222459E0,2.233191967E0,-3.454649925E0,2.401770115E0
1.269409230E0,2.386057377E0,-3.878624916E0,2.007622480E0
1.289596938E0,2.597512245E0,-3.371559381E0,1.622529626E0
1.309785480E0,2.681135416E0,-2.886331797E0,1.247024298E0
1.329974751E0,2.803108215E0,-2.924148798E0,7.958850861E-1
1.350164647E0,2.682733297E0,-3.473824739E0,4.257059693E-1
1.370355063E0,1.727724433E0,-3.661843777E0,1.611211337E-2
1.390545792E0,5.575323701E-1,-2.364352703E0,-1.937448233E-1
1.410736730E0,-2.925480306E-1,-8.538088202E-1,-1.149153188E-1
1.430938501E0,-5.077312589E-1,-5.368928909E-1,4.576638937E-1
1.451115480E0,-1.567269117E-1,-1.524392247E0,1.216664195E0
1.471292772E0,6.198502779E-1,-3.078611851E0,1.691239238E0
1.491470792E0,1.007073641E0,-3.837079525E0,1.652889729E0
1.511649855E0,6.858966351E-1,-3.730020523E0,1.824929833E0
1.531830272E0,3.130543530E-1,-3.282077312E0,1.895769835E0
1.552012147E0,2.150501013E-1,-2.759032726E0,1.743969679E0
1.572195688E0,1.681784987E-1,-2.138516665E0,1.654487610E0
1.592380897E0,-1.034637317E-1,-1.329449058E0,1.643834949E0
1.612567772E0,-5.886912942E-1,-4.452801943E-1,1.695500255E0
1.632756313E0,-8.571377397E-1,-2.018674612E-1,1.658216000E0
1.652946417E0,-5.817670822E-1,-7.099981904E-1,1.526655912E0
1.673137876E0,4.141212255E-2,-1.282044768E0,1.482447505E0
1.693330376E0,3.764375448E-1,-1.151017308E0,1.421727538E0
1.713523709E0,6.431528926E-2,-5.512739420E-1,1.408411741E0
1.733717563E0,-6.014744639E-1,1.326253265E-1,1.414803267E0
1.753911626E0,-9.839041233E-1,3.328948915E-1,1.563407540E0
1.774104855E0,-8.656598926E-1,-2.093243003E-1,1.867540359E0
1.794291730E0,-3.495396376E-1,-2.780338228E-1,2.083788872E0
1.814473188E0,3.572627902E-1,1.107874155E0,2.072070837E0
1.834655063E0,3.759049177E-1,1.856221914E0,1.923466682E0
1.854837459E0,9.414267540E-2,2.063948393E0,2.179662466E0
1.875020584E0,-3.209106624E-2,2.086851358E0,2.808700800E0
1.895204542E0,2.283658981E-1,1.980857730E0,3.139465094E0
1.915389438E0,7.870966792E-1,1.064198375E0,2.769818544E0
1.935575272E0,6.795050502E-1,-9.640635848E-1,2.670216560E0
1.955762042E0,-7.150582224E-2,-2.860765457E0,3.228947163E0
1.975949751E0,-3.703122735E-1,-3.620831013E0,3.770101070E0
1.996138292E0,-5.918871164E-1,-3.631483793E0,4.113116264E0
2.016327563E0,-1.038765192E0,-3.776359558E0,3.935749769E0
2.036517459E0,-7.676556110E-1,-1.430649042E0,2.991926193E0
2.056707876E0,5.053344369E-1,1.978727221E0,7.133271694E-1
2.076898605E0,7.839008570E-1,2.732401133E0,-1.589240193E0
2.097089438E0,-1.189100519E-1,1.738510251E0,-2.151699305E0
2.117291105E0,-5.263733864E-1,7.600656152E-1,-1.357545376E0
2.137467876E0,-2.275669426E-1,2.631201148E-1,-4.579302073E-1
2.157644959E0,-8.056056499E-2,-5.858949944E-2,1.817606091E-1
2.177822772E0,-1.268995255E-1,-2.295643091E-1,2.994722426E-1
