"event","experiment time","system time","system time text"
"START",0.000000000E0,1769619202.459,"2026-01-28 22:23:22.459 UTC+05:30"
"PAUSE",1.040605723E2,1769619306.519,"2026-01-28 22:25:06.519 UTC+05:30"
