"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.601585000E-2,2.536658943E-1,-1.753690243E-1,-1.613874435E-1
6.613100600E-2,2.046637833E-1,3.075948730E-2,-1.597895473E-1
8.640324600E-2,1.178447902E-1,2.889527678E-1,-1.720400751E-1
1.066756420E-1,7.044056058E-2,4.593949318E-1,-1.970737725E-1
1.269480380E-1,3.861580743E-3,6.211818457E-1,-2.588590682E-1
1.472203810E-1,-4.500738904E-2,8.331693411E-1,-3.279680312E-1
1.674927770E-1,3.049317189E-2,9.695230722E-1,-4.648544192E-1
1.877651210E-1,2.569948509E-2,1.108007312E0,-5.213133693E-1
2.080376210E-1,1.557948068E-2,1.196291089E0,-6.060018539E-1
2.283100690E-1,7.470161468E-2,1.092028379E0,-8.590019941E-1
2.485825170E-1,1.657816470E-1,1.259141564E0,-9.201214910E-1
2.688549130E-1,1.146489978E-1,1.347558498E0,-1.067660451E0
2.891274130E-1,-8.388951421E-3,1.398691177E0,-1.168327928E0
3.093998610E-1,-8.442214131E-2,1.365667939E0,-1.136902571E0
3.296722560E-1,-2.383527346E-2,1.419996381E0,-1.034637332E0
3.499447040E-1,1.545963883E-1,1.397625923E0,-1.112401605E0
3.702171520E-1,2.463422157E-2,8.954872489E-1,-1.228515267E0
3.906171520E-1,-3.736412227E-1,5.291697383E-1,-1.233309031E0
4.107620480E-1,-7.223818898E-1,9.423588514E-1,-1.072986841E0
4.310344960E-1,-7.543398142E-1,1.258076310E0,-1.115064740E0
4.513069440E-1,-6.797713637E-1,9.167925119E-1,-1.017060518E0
4.715793920E-1,-5.036033988E-1,6.392913461E-1,-8.870983124E-1
4.918518400E-1,-3.358243704E-1,3.608580530E-1,-8.211851120E-1
5.121242880E-1,-2.463422120E-1,2.543317080E-1,-7.679219246E-1
5.323967360E-1,-2.969422340E-1,3.624559641E-1,-7.040061355E-1
5.526691310E-1,-3.219759464E-1,5.147886276E-1,-6.390250325E-1
5.729415790E-1,-2.223737836E-1,6.110618711E-1,-5.159870982E-1
5.932139750E-1,-5.725792050E-2,2.484727502E-1,-6.193176508E-1
6.134864230E-1,-9.454214945E-3,-9.547425061E-2,-7.833682299E-1
6.337588710E-1,-8.122635633E-2,2.095906287E-1,-9.760478139E-1
6.540313190E-1,-6.151897460E-2,2.143843025E-1,-6.677871346E-1
6.743037150E-1,-3.062632866E-3,6.211818457E-1,-4.121238589E-1
6.947037150E-1,-1.472726911E-1,8.795083165E-1,-4.723112583E-1
7.148485590E-1,-2.292979956E-1,9.823062420E-1,-4.845618010E-1
7.351210060E-1,-9.986846708E-3,8.422240615E-1,-4.675175846E-1
7.553934020E-1,2.962764502E-1,5.988113284E-1,-6.486123800E-1
7.756658500E-1,2.818953991E-1,4.759065211E-1,-5.628587008E-1
7.960658500E-1,2.717753947E-1,1.877527237E-1,-6.097303033E-1
8.162106940E-1,3.404848874E-1,-2.611227632E-1,-8.174566627E-1
8.364830900E-1,3.431480527E-1,-6.295707822E-1,-8.403598666E-1
8.567554860E-1,1.545963883E-1,-9.672594070E-1,-7.636608481E-1
8.770279340E-1,-1.957421899E-1,-1.167395830E0,-5.532712936E-1
8.974279340E-1,-4.306328297E-1,-1.237170577E0,-2.253032625E-1
9.175727250E-1,-6.520745158E-1,-1.434244394E0,7.776424289E-2
9.378451210E-1,-7.250450850E-1,-1.696166039E0,-6.338318437E-2
9.581175170E-1,-6.733797789E-1,-1.694035530E0,-4.818986356E-1
9.783899130E-1,-4.221107066E-1,-1.414536953E0,-7.902924418E-1
9.987899130E-1,4.008054361E-2,-1.087501049E0,-8.934898973E-1
1.018934704E0,5.129244328E-1,-8.990825415E-1,-8.924246430E-1
1.039207256E0,7.850993276E-1,-8.692551255E-1,-8.595346212E-1
1.059479496E0,9.017456770E-1,-8.436887860E-1,-7.503450513E-1
1.079751892E0,9.422256947E-1,-6.508761048E-1,-6.566019058E-1
1.100024288E0,9.406278133E-1,-2.781669796E-1,-6.704503298E-1
1.120296684E0,9.480846524E-1,9.454214945E-3,-7.753787637E-1
1.140569079E0,9.598025680E-1,9.294424951E-2,-8.435556293E-1
1.160841423E0,9.677920341E-1,3.177148700E-1,-8.169240355E-1
1.181113819E0,1.012533069E0,7.468829751E-1,-8.494145870E-1
1.201513819E0,1.136503100E0,1.249554276E0,-9.797762632E-1
1.221658559E0,1.330913782E0,1.655819178E0,-1.174186826E0
1.241930954E0,1.537574887E0,1.859284520E0,-1.444630623E0
1.262203350E0,1.689774394E0,1.830522418E0,-1.769003391E0
1.282475694E0,1.745700836E0,1.779389739E0,-2.010685205E0
1.302748090E0,1.660479665E0,1.848099232E0,-2.091645241E0
1.323020434E0,1.472061157E0,2.032922506E0,-2.179529428E0
1.343292829E0,1.303216934E0,2.323606253E0,-2.369678974E0
1.363565173E0,1.160471559E0,2.399240017E0,-2.465020180E0
1.383837517E0,9.518130422E-1,1.979659319E0,-2.481398582E0
1.404109913E0,5.976129174E-1,1.390169024E0,-2.494714260E0
1.424382256E0,1.295626909E-1,1.177648902E0,-2.336655855E0
1.444654600E0,-2.761695981E-1,1.395495415E0,-1.998967171E0
1.464926944E0,-4.029359818E-1,1.769802332E0,-1.817472935E0
1.485199340E0,-1.845569313E-1,2.003095150E0,-1.823331833E0
1.505471684E0,-1.121189967E-1,1.777791858E0,-1.864877105E0
1.525744027E0,-5.419528484E-1,1.149419427E0,-1.709881306E0
1.546016371E0,-1.218661547E0,7.889608741E-1,-1.076182604E0
1.566288715E0,-1.764476061E0,1.028645158E0,-3.062632978E-1
1.586561059E0,-1.638908148E0,1.719202399E0,4.261054471E-2
