"event","experiment time","system time","system time text"
"START",0.000000000E0,1769615110.393,"2026-01-28 21:15:10.393 UTC+05:30"
"PAUSE",1.513869734E2,1769615261.780,"2026-01-28 21:17:41.780 UTC+05:30"
