"event","experiment time","system time","system time text"
"START",0.000000000E0,1767024586.757,"2025-12-29 21:39:46.757 UTC+05:30"
"PAUSE",5.892371128E1,1767024645.681,"2025-12-29 21:40:45.681 UTC+05:30"
