"event","experiment time","system time","system time text"
"START",0.000000000E0,1769575997.416,"2026-01-28 10:23:17.416 UTC+05:30"
"PAUSE",5.601589165E1,1769576053.432,"2026-01-28 10:24:13.432 UTC+05:30"
