"event","experiment time","system time","system time text"
"START",0.000000000E0,1769581789.216,"2026-01-28 11:59:49.216 UTC+05:30"
"PAUSE",8.234454877E1,1769581871.561,"2026-01-28 12:01:11.561 UTC+05:30"
