"event","experiment time","system time","system time text"
"START",0.000000000E0,1767027493.684,"2025-12-29 22:28:13.684 UTC+05:30"
"PAUSE",4.591276665E1,1767027539.597,"2025-12-29 22:28:59.597 UTC+05:30"
