"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.384257200E-2,-3.416508198E0,-4.405617237E0,8.067738533E0
6.392778000E-2,-3.497334003E0,-4.418214321E0,8.026107788E0
8.402121700E-2,-3.608120680E0,-4.420830727E0,7.975469112E0
1.041263220E-1,-3.748679161E0,-4.416258335E0,7.912929535E0
1.242459050E-1,-3.881273508E0,-4.407641888E0,7.853584766E0
1.443821550E-1,-3.986431360E0,-4.399219513E0,7.805486202E0
1.645365300E-1,-4.060596466E0,-4.413280964E0,7.759181499E0
1.847096550E-1,-4.125500202E0,-4.452177525E0,7.702516079E0
2.049014260E-1,-4.193695068E0,-4.489082336E0,7.644045830E0
2.251109050E-1,-4.271063328E0,-4.497683048E0,7.596002579E0
2.453365300E-1,-4.345862389E0,-4.481956959E0,7.562799454E0
2.655762170E-1,-4.425170898E0,-4.463353634E0,7.527729988E0
2.858273630E-1,-4.530829906E0,-4.452534676E0,7.471071243E0
3.060869470E-1,-4.665976048E0,-4.453476906E0,7.386852741E0
3.263517380E-1,-4.805600166E0,-4.474296570E0,7.284042358E0
3.466185090E-1,-4.920958996E0,-4.508391857E0,7.185329437E0
3.668556970E-1,-5.033600807E0,-4.531310081E0,7.092282772E0
3.870440300E-1,-5.160633564E0,-4.541524887E0,6.993768692E0
4.072269470E-1,-5.320017338E0,-4.539047718E0,6.874942780E0
4.274102800E-1,-5.581944942E0,-4.512003899E0,6.682373047E0
4.475941340E-1,-5.883566380E0,-4.470327377E0,6.447496414E0
4.677787170E-1,-6.169885635E0,-4.424322605E0,6.207113266E0
4.879641340E-1,-6.440937042E0,-4.385947704E0,5.953836918E0
5.081504880E-1,-6.713771820E0,-4.363265991E0,5.661939621E0
5.283377800E-1,-6.977152824E0,-4.364861488E0,5.332701206E0
5.485260090E-1,-7.218852520E0,-4.386700630E0,4.981507778E0
5.687151760E-1,-7.443624496E0,-4.432050228E0,4.595626354E0
5.889051760E-1,-7.663071156E0,-4.454707146E0,4.195630074E0
6.090959050E-1,-7.836415768E0,-4.519495010E0,3.786177635E0
6.292872590E-1,-7.948264122E0,-4.633638859E0,3.394831657E0
6.494791340E-1,-7.988245010E0,-4.805366516E0,3.044140100E0
6.696713220E-1,-7.940122128E0,-5.066133976E0,2.731140614E0
6.898637170E-1,-7.795175076E0,-5.394507885E0,2.510958672E0
7.100669470E-1,-7.580415726E0,-5.737292290E0,2.406483650E0
7.302454880E-1,-7.338564873E0,-6.073793888E0,2.329138279E0
7.504243420E-1,-7.083831310E0,-6.399893761E0,2.243009806E0
7.706039260E-1,-6.818107128E0,-6.716346741E0,2.138805151E0
7.907845510E-1,-6.524515629E0,-7.054268360E0,1.959175587E0
8.109664260E-1,-6.200565815E0,-7.422781467E0,1.620396376E0
8.311497590E-1,-5.889784813E0,-7.735031605E0,1.284570456E0
8.513347590E-1,-5.713028431E0,-7.916309834E0,9.293690920E-1
8.715214260E-1,-5.666191578E0,-7.986126900E0,5.351943970E-1
8.917097590E-1,-5.685135365E0,-7.982066154E0,3.691127896E-1
9.118997590E-1,-5.721827030E0,-7.949140072E0,4.922001660E-1
9.320912170E-1,-5.598136902E0,-8.030537605E0,5.845710039E-1
9.522840300E-1,-5.373708725E0,-8.168255806E0,7.571280599E-1
9.724778840E-1,-4.955164909E0,-8.397488594E0,1.048289299E0
9.926725720E-1,-4.270103931E0,-8.709121704E0,1.444931269E0
1.012867780E0,-3.361626148E0,-9.033152580E0,1.808866620E0
1.033063197E0,-2.335646152E0,-9.327489853E0,1.926935077E0
1.053258509E0,-1.301331401E0,-9.548923492E0,1.815209150E0
1.073446738E0,-3.337202966E-1,-9.679368973E0,1.539098144E0
1.093629551E0,5.064814091E-1,-9.729759216E0,1.116080046E0
1.113812780E0,1.283764362E0,-9.705760002E0,5.661603212E-1
1.133996634E0,1.724977016E0,-9.653022766E0,1.183662638E-1
1.154181217E0,1.609998822E0,-9.673310280E0,7.323414087E-2
1.174366634E0,1.301479816E0,-9.715384483E0,2.963956296E-1
1.194552988E0,9.494431615E-1,-9.742239952E0,5.980928540E-1
1.214740280E0,6.171605587E-1,-9.750585556E0,8.459221721E-1
1.234928509E0,4.061980844E-1,-9.755414009E0,9.150364399E-1
1.255117676E0,3.348049819E-1,-9.766988754E0,8.150048852E-1
1.275307676E0,3.166724443E-1,-9.780679703E0,6.390661001E-1
1.295498405E0,2.862899899E-1,-9.792006493E0,4.528152347E-1
1.315689759E0,2.216036022E-1,-9.799015999E0,3.171239197E-1
1.335881634E0,1.395978034E-1,-9.802082062E0,2.647492588E-1
1.356073822E0,7.119404525E-2,-9.802414894E0,2.792764306E-1
1.376266217E0,3.564135730E-2,-9.802074432E0,2.974056900E-1
1.396469447E0,2.416532114E-2,-9.803378105E0,2.521310449E-1
1.416648092E0,9.388239123E-3,-9.805500031E0,1.498971581E-1
1.436827051E0,-2.402877808E-2,-9.806566238E0,3.238780424E-2
1.457006738E0,-5.615969375E-2,-9.806272507E0,-6.514573842E-2
1.477187467E0,-7.492440939E-2,-9.805394173E0,-1.378591359E-1
1.497369447E0,-9.121552855E-2,-9.804069519E0,-2.056458145E-1
1.517552884E0,-1.114047244E-1,-9.801542282E0,-2.962245643E-1
1.537737884E0,-1.362519413E-1,-9.796719551E0,-4.196507335E-1
1.557924551E0,-1.653671116E-1,-9.788568497E0,-5.718129277E-1
1.578112884E0,-2.015815079E-1,-9.776412010E0,-7.426458597E-1
1.598302780E0,-2.458319813E-1,-9.761115074E0,-9.113680720E-1
1.618494134E0,-2.914610505E-1,-9.746150017E0,-1.047852755E0
1.638686842E0,-3.282326162E-1,-9.735843658E0,-1.129604340E0
1.658902207E0,-3.466637135E-1,-9.731779099E0,-1.158740878E0
1.679096009E0,-3.462266326E-1,-9.732456207E0,-1.153182626E0
1.699281634E0,-3.300615251E-1,-9.735162735E0,-1.134924173E0
1.719464759E0,-3.070065677E-1,-9.737639427E0,-1.120049238E0
1.739648353E0,-2.853778899E-1,-9.738818169E0,-1.115513682E0
1.759832572E0,-2.706240416E-1,-9.738346100E0,-1.123287797E0
1.780017572E0,-2.667222619E-1,-9.736152649E0,-1.143055320E0
1.800203457E0,-2.735934854E-1,-9.732682228E0,-1.170655489E0
1.820390280E0,-2.882502675E-1,-9.728909492E0,-1.198172927E0
1.840578040E0,-3.020024896E-1,-9.725608826E0,-1.221355677E0
1.860766738E0,-3.100553751E-1,-9.723723412E0,-1.234288216E0
1.880956322E0,-3.135572374E-1,-9.723861694E0,-1.232303977E0
1.901146686E0,-3.122529387E-1,-9.726102829E0,-1.214830637E0
1.921337728E0,-3.081973791E-1,-9.729562759E0,-1.187858343E0
1.941529342E0,-3.052597642E-1,-9.732880592E0,-1.161129713E0
1.961721374E0,-3.033140898E-1,-9.735275269E0,-1.141401887E0
1.981913613E0,-3.022277355E-1,-9.736410141E0,-1.131971478E0
2.002111322E0,-3.006841242E-1,-9.736161232E0,-1.134516835E0
2.022302103E0,-3.006907105E-1,-9.734623909E0,-1.147635937E0
2.042480697E0,-3.015235364E-1,-9.732415199E0,-1.165999174E0
2.062659811E0,-3.031814992E-1,-9.730089188E0,-1.184837580E0
2.082839811E0,-3.056407869E-1,-9.728260994E0,-1.199129701E0
2.103021009E0,-3.096351922E-1,-9.727359772E0,-1.205399990E0
2.123203613E0,-3.141828775E-1,-9.727487564E0,-1.203189611E0
2.143387780E0,-3.174039125E-1,-9.728387833E0,-1.195039511E0
2.163573613E0,-3.162332475E-1,-9.730073929E0,-1.181546211E0
2.183761113E0,-3.092629910E-1,-9.732822418E0,-1.160562992E0
2.203950280E0,-2.988711596E-1,-9.736172676E0,-1.134909153E0
2.224141061E0,-2.909265161E-1,-9.738761902E0,-1.114567995E0
2.244333301E0,-2.877216339E-1,-9.739773750E0,-1.106530070E0
2.264526738E0,-2.898870707E-1,-9.737243652E0,-1.128022432E0
2.284721113E0,-2.965320051E-1,-9.735307693E0,-1.142904162E0
2.304916165E0,-3.130109906E-1,-9.734050751E0,-1.149212718E0
2.325111582E0,-3.369677067E-1,-9.732863426E0,-1.152483702E0
2.345306686E0,-3.618149161E-1,-9.731680870E0,-1.154937387E0
2.365498197E0,-3.819783032E-1,-9.730852127E0,-1.155421853E0
2.385683822E0,-3.923220336E-1,-9.730245590E0,-1.157057762E0
2.405866947E0,-3.898912072E-1,-9.730537415E0,-1.155429244E0
2.426050540E0,-3.763246536E-1,-9.732064247E0,-1.147037983E0
2.446234759E0,-3.598276079E-1,-9.733903885E0,-1.136679769E0
2.466419759E0,-3.498548567E-1,-9.734666824E0,-1.133249164E0
2.486605645E0,-3.484521508E-1,-9.733171463E0,-1.146448731E0
2.506792467E0,-3.514584005E-1,-9.730460167E0,-1.168336868E0
2.526980228E0,-3.555436432E-1,-9.727600098E0,-1.190711021E0
2.547168926E0,-3.584363759E-1,-9.725161552E0,-1.209607959E0
2.567358509E0,-3.587455153E-1,-9.723573685E0,-1.222211957E0
2.587548874E0,-3.572439253E-1,-9.722352982E0,-1.232321501E0
2.607739915E0,-3.571948111E-1,-9.720833778E0,-1.244259000E0
2.627931530E0,-3.560741246E-1,-9.718721390E0,-1.260978222E0
2.648144967E0,-3.508751690E-1,-9.716766357E0,-1.277398229E0
2.668322572E0,-3.425480425E-1,-9.715898514E0,-1.286215186E0
2.688500592E0,-3.329280615E-1,-9.715003014E0,-1.295476079E0
2.708679342E0,-3.256846070E-1,-9.712709427E0,-1.314379692E0
2.728859238E0,-3.247017562E-1,-9.709115982E0,-1.340907693E0
2.749040592E0,-3.334397674E-1,-9.705321312E0,-1.365995169E0
2.769223613E0,-3.483199179E-1,-9.702486038E0,-1.382328033E0
2.789408405E0,-3.656165004E-1,-9.700418472E0,-1.392335653E0
2.809595072E0,-3.821164668E-1,-9.699005127E0,-1.397738934E0
2.829783613E0,-3.988687098E-1,-9.698082924E0,-1.399454713E0
2.849973926E0,-4.141999185E-1,-9.696807861E0,-1.403838158E0
2.870165801E0,-4.257297218E-1,-9.694336891E0,-1.417387247E0
2.890359030E0,-4.337165356E-1,-9.690587044E0,-1.440424085E0
2.910553405E0,-4.347270429E-1,-9.686770439E0,-1.465561271E0
2.930748613E0,-4.272887707E-1,-9.684000015E0,-1.485920906E0
2.950944342E0,-4.130617678E-1,-9.682848930E0,-1.497403502E0
2.971140280E0,-3.957295418E-1,-9.683006287E0,-1.501062155E0
2.991335176E0,-3.824589252E-1,-9.683293343E0,-1.502643347E0
3.011523405E0,-3.765669167E-1,-9.683004379E0,-1.505990386E0
3.031722467E0,-3.789237440E-1,-9.681994438E0,-1.511881351E0
3.051899967E0,-3.883464336E-1,-9.680004120E0,-1.522198319E0
3.072077884E0,-4.008291066E-1,-9.677443504E0,-1.535190105E0
3.092256530E0,-4.118731916E-1,-9.675410271E0,-1.545050979E0
3.112436322E0,-4.186324775E-1,-9.674403191E0,-1.549533129E0
3.132617572E0,-4.215483963E-1,-9.674154282E0,-1.550302029E0
3.152800488E0,-4.219389558E-1,-9.673799515E0,-1.552405357E0
3.172985176E0,-4.224785864E-1,-9.673080444E0,-1.556733131E0
3.193171738E0,-4.231352508E-1,-9.672572136E0,-1.559707642E0
3.213360176E0,-4.234635234E-1,-9.673010826E0,-1.556896329E0
3.233550384E0,-4.224661887E-1,-9.674251556E0,-1.549439311E0
3.253742259E0,-4.191518128E-1,-9.675104141E0,-1.545012116E0
3.273935592E0,-4.170626700E-1,-9.674725533E0,-1.547939897E0
3.294130072E0,-4.169799685E-1,-9.673251152E0,-1.557152629E0
3.314325384E0,-4.179825485E-1,-9.671785355E0,-1.565964341E0
3.334521217E0,-4.197824299E-1,-9.671283722E0,-1.568577290E0
3.354717259E0,-4.228890538E-1,-9.671423912E0,-1.566880107E0
3.374912467E0,-4.253628850E-1,-9.671451569E0,-1.566040516E0
3.395100801E0,-4.257588089E-1,-9.670942307E0,-1.569071770E0
3.415289030E0,-4.246797264E-1,-9.670239449E0,-1.573691487E0
3.435471842E0,-4.244868755E-1,-9.670085907E0,-1.574685335E0
3.455655072E0,-4.258184731E-1,-9.670598030E0,-1.571178675E0
3.475838926E0,-4.278720021E-1,-9.670945168E0,-1.568477035E0
3.496023509E0,-4.289741218E-1,-9.670612335E0,-1.570231318E0
3.516208926E0,-4.308567643E-1,-9.669529915E0,-1.576365352E0
3.536395280E0,-4.346948862E-1,-9.667920113E0,-1.585164666E0
3.556582572E0,-4.375751317E-1,-9.666163445E0,-1.595057130E0
3.576770801E0,-4.370475411E-1,-9.665088654E0,-1.601693511E0
3.596959967E0,-4.342356324E-1,-9.665041924E0,-1.602746725E0
3.617149967E0,-4.312837422E-1,-9.665452003E0,-1.601065397E0
3.637340697E0,-4.288682342E-1,-9.665865898E0,-1.599215508E0
3.657551217E0,-4.270238578E-1,-9.665941238E0,-1.599251509E0
3.677733926E0,-4.258562326E-1,-9.665683746E0,-1.601120830E0
3.697916947E0,-4.243589640E-1,-9.665340424E0,-1.603589177E0
3.718100436E0,-4.232424796E-1,-9.664878845E0,-1.606665730E0
3.738284551E0,-4.233916402E-1,-9.663949966E0,-1.612196803E0
3.758469447E0,-4.239610434E-1,-9.662270546E0,-1.622089386E0
3.778655228E0,-4.239138365E-1,-9.660719872E0,-1.631312013E0
3.798841947E0,-4.233365953E-1,-9.660079956E0,-1.635244131E0
3.819029603E0,-4.249350131E-1,-9.660089493E0,-1.634774327E0
3.839218197E0,-4.279294312E-1,-9.660197258E0,-1.633358240E0
3.859407728E0,-4.294598997E-1,-9.660610199E0,-1.630510092E0
3.879598092E0,-4.282039702E-1,-9.661315918E0,-1.626645684E0
3.899789134E0,-4.264044762E-1,-9.661931992E0,-1.623463273E0
3.919980749E0,-4.260168076E-1,-9.661967278E0,-1.623356581E0
3.940172780E0,-4.282681644E-1,-9.661668777E0,-1.624542236E0
3.960365072E0,-4.312938452E-1,-9.661439896E0,-1.625102878E0
3.980562884E0,-4.343054891E-1,-9.661431313E0,-1.624350667E0
4.000753770E0,-4.372111559E-1,-9.661695480E0,-1.621996760E0
4.020932467E0,-4.391689003E-1,-9.661665916E0,-1.621648669E0
4.041111686E0,-4.389459491E-1,-9.661161423E0,-1.624708652E0
4.061291790E0,-4.360623658E-1,-9.661162376E0,-1.625475883E0
4.081473040E0,-4.350998402E-1,-9.661862373E0,-1.621575475E0
4.101655645E0,-4.379280806E-1,-9.662614822E0,-1.616320252E0
4.121839811E0,-4.430482090E-1,-9.662802696E0,-1.613797784E0
4.142025645E0,-4.479619861E-1,-9.662695885E0,-1.613079429E0
4.162213145E0,-4.494275451E-1,-9.662529945E0,-1.613665104E0
4.182402311E0,-4.481608868E-1,-9.662547112E0,-1.613911271E0
4.202593040E0,-4.470050335E-1,-9.662893295E0,-1.612164378E0
4.222785124E0,-4.488428831E-1,-9.662867546E0,-1.611810803E0
4.242978353E0,-4.521834850E-1,-9.662289619E0,-1.614335656E0
4.263172520E0,-4.546750784E-1,-9.661748886E0,-1.616866350E0
4.283367363E0,-4.551501870E-1,-9.661664963E0,-1.617241859E0
4.303562572E0,-4.551635683E-1,-9.661839485E0,-1.616194487E0
4.323757780E0,-4.544135034E-1,-9.662073135E0,-1.615006447E0
4.343949447E0,-4.535130262E-1,-9.662570000E0,-1.612280250E0
4.364134967E0,-4.520453215E-1,-9.663249016E0,-1.608619690E0
4.384317988E0,-4.493802786E-1,-9.664039612E0,-1.604612827E0
4.404501478E0,-4.466108382E-1,-9.664599419E0,-1.602010727E0
4.424685592E0,-4.443728924E-1,-9.664821625E0,-1.601286530E0
4.444870488E0,-4.420154393E-1,-9.665109634E0,-1.600203991E0
4.465056270E0,-4.401881099E-1,-9.665697098E0,-1.597165704E0
4.485242988E0,-4.396765828E-1,-9.666474342E0,-1.592588544E0
4.505430645E0,-4.402689636E-1,-9.667313576E0,-1.587322831E0
4.525619238E0,-4.413542747E-1,-9.667900085E0,-1.583440661E0
4.545808717E0,-4.420644343E-1,-9.668375969E0,-1.580340147E0
4.565999030E0,-4.417671561E-1,-9.668953896E0,-1.576883197E0
4.586190072E0,-4.407605529E-1,-9.669740677E0,-1.572335124E0
