"event","experiment time","system time","system time text"
"START",0.000000000E0,1767028029.434,"2025-12-29 22:37:09.434 UTC+05:30"
"PAUSE",6.023634097E1,1767028089.671,"2025-12-29 22:38:09.671 UTC+05:30"
