"event","experiment time","system time","system time text"
"START",0.000000000E0,1769615110.454,"2026-01-28 21:15:10.454 UTC+05:30"
"PAUSE",1.506658873E2,1769615261.120,"2026-01-28 21:17:41.120 UTC+05:30"
