"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.042121000E-2,-1.014682204E-1,7.214661121E0,6.641441822E0
7.067475200E-2,-1.616919339E-1,7.224938869E0,6.629064560E0
9.078980400E-2,-2.130341381E-1,7.236872673E0,6.614581108E0
1.110613670E-1,-2.246473283E-1,7.241804600E0,6.608796120E0
1.313323040E-1,-2.213171571E-1,7.232286453E0,6.619323254E0
1.516028770E-1,-2.675376534E-1,7.226576805E0,6.623850346E0
1.718731900E-1,-3.572243750E-1,7.233429432E0,6.612130642E0
1.921420960E-1,-4.591012001E-1,7.230124950E0,6.609455585E0
2.125431900E-1,-6.338518262E-1,7.216452122E0,6.609949589E0
2.326819920E-1,-9.360054731E-1,7.220805645E0,6.569189072E0
2.529516790E-1,-1.199416757E0,7.210589409E0,6.537522316E0
2.732211580E-1,-1.403623223E0,7.174204350E0,6.536896706E0
2.934905850E-1,-1.598965287E0,7.121722221E0,6.549408913E0
3.137599080E-1,-1.863499165E0,7.063546181E0,6.542482853E0
3.340291790E-1,-2.199046135E0,6.988731861E0,6.518605232E0
3.542984500E-1,-2.588822365E0,6.865720272E0,6.506171227E0
3.745676170E-1,-3.064261675E0,6.737545490E0,6.433207035E0
3.948367830E-1,-3.397542715E0,6.724489689E0,6.277604580E0
4.151058980E-1,-3.965226650E0,6.745349407E0,5.911653042E0
4.353749600E-1,-4.475847244E0,6.841304779E0,5.416062355E0
4.556440750E-1,-4.877810478E0,6.881434917E0,5.002320766E0
4.759131380E-1,-5.223247051E0,6.708244801E0,4.887487888E0
4.961821480E-1,-5.598054409E0,6.353922844E0,4.945688725E0
5.165822000E-1,-5.959923267E0,5.980720520E0,4.988053322E0
5.367202210E-1,-6.296893120E0,5.716198921E0,4.883093357E0
5.569892310E-1,-6.564441681E0,5.449899197E0,4.834987164E0
5.772582940E-1,-6.733756065E0,5.086180687E0,4.995768070E0
5.975273040E-1,-6.884097099E0,4.706072807E0,5.160666943E0
6.179273040E-1,-6.973744392E0,4.367536068E0,5.334969044E0
6.380652730E-1,-6.980595112E0,4.110119343E0,5.527079105E0
6.583343350E-1,-6.914875031E0,3.939372063E0,5.730292320E0
6.786033460E-1,-6.965516567E0,3.848755121E0,5.730536938E0
6.988723560E-1,-7.153842449E0,3.791814566E0,5.533087730E0
7.192723560E-1,-7.389848232E0,3.733977079E0,5.255277157E0
7.394103770E-1,-7.550974846E0,3.667662144E0,5.069658279E0
7.596793880E-1,-7.635242939E0,3.605139494E0,4.987628460E0
7.799483980E-1,-7.713043690E0,3.517478943E0,4.930180550E0
8.002174080E-1,-7.761988640E0,3.352481127E0,4.968177319E0
8.206174080E-1,-7.734232903E0,3.119341135E0,5.159626961E0
8.407554290E-1,-7.612002850E0,2.862001181E0,5.480579376E0
8.610243880E-1,-7.462992668E0,2.621712923E0,5.796615601E0
8.812934500E-1,-7.420492172E0,2.386577368E0,5.950707912E0
9.015624600E-1,-7.399024010E0,2.175279379E0,6.057474136E0
9.218314190E-1,-7.287092686E0,2.028248310E0,6.241384029E0
9.421004290E-1,-7.131663322E0,1.845878601E0,6.473214149E0
9.623694920E-1,-6.995466709E0,1.541088462E0,6.697678089E0
9.826385020E-1,-6.879408836E0,1.142088413E0,6.894907475E0
1.002907513E0,-6.753715515E0,6.996773481E-1,7.075885296E0
1.023307513E0,-6.630859375E0,2.409480810E-1,7.221083641E0
1.043445533E0,-6.575352192E0,-1.966238767E-1,7.272995949E0
1.063714544E0,-6.589578629E0,-5.904139280E-1,7.238731861E0
1.083983606E0,-6.607414722E0,-9.452990294E-1,7.184627533E0
1.104252669E0,-6.621029854E0,-1.298348427E0,7.116645813E0
1.124521679E0,-6.669355392E0,-1.685670972E0,6.989177227E0
1.144790690E0,-6.729498863E0,-2.106621742E0,6.815157890E0
1.165059752E0,-6.798044682E0,-2.531625271E0,6.599080086E0
1.185328763E0,-6.875937462E0,-2.928572655E0,6.349435806E0
1.205597773E0,-6.944663525E0,-3.302578211E0,6.085640907E0
1.225866835E0,-6.983945370E0,-3.651449680E0,5.836249352E0
1.246135846E0,-7.012429237E0,-3.946224451E0,5.605670452E0
1.266404908E0,-7.067776203E0,-4.210740089E0,5.337282658E0
1.286673971E0,-7.165549278E0,-4.484384060E0,4.971477509E0
