"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.379772500E-2,-2.988066673E-1,-1.104679227E0,-1.028512836E0
3.372540000E-2,-2.988066673E-1,-1.104679227E0,-1.028512836E0
5.362255700E-2,-2.988066673E-1,-1.104679227E0,-1.028512836E0
7.355023100E-2,-2.988066673E-1,-1.104679227E0,-1.028512836E0
9.344738900E-2,-5.246427655E-1,7.787083387E-1,-1.496696621E-1
1.133140290E-1,-4.404868484E-1,1.058340192E0,3.036003746E-2
1.332111860E-1,-3.137203753E-1,1.396029115E0,3.062635362E-1
1.531083440E-1,-1.629854590E-1,1.643170476E0,4.703142643E-1
1.730055010E-1,-6.072007492E-2,1.725195765E0,5.075985193E-1
1.929026580E-1,-9.587380290E-2,1.751827359E0,4.639226794E-1
2.127692990E-1,-2.215750068E-1,1.789644241E0,3.350256681E-1
2.326664570E-1,-3.355582952E-1,1.820004344E0,2.444781959E-1
2.525636130E-1,-4.980111420E-1,1.291100502E0,-4.793690052E-3
2.724607710E-1,-6.093312502E-1,1.221858382E0,-3.616572917E-1
2.923274120E-1,-4.037352204E-1,1.133973956E0,-5.305017233E-1
3.122245690E-1,2.806971967E-1,1.617604017E0,-5.214469433E-1
3.321217270E-1,7.062703371E-1,2.041046619E0,-1.029045463E0
3.520188840E-1,9.118663669E-1,2.863430977E0,-1.000283360E0
3.719160410E-1,1.948901296E0,1.514273405E0,-6.540724039E-1
3.917826810E-1,2.326004982E0,1.137169838E0,-7.499461770E-1
4.117103550E-1,2.120941639E0,1.288437366E0,-7.984157205E-1
4.316075130E-1,1.409877539E0,2.865028858E0,-4.761732221E-1
4.514741540E-1,1.200020432E0,1.990446687E0,-8.474178910E-1
4.714018280E-1,4.207794666E-1,8.644620776E-1,-1.328384757E0
4.912684690E-1,-9.970875382E-1,-6.572681665E-1,-1.201618314E0
5.111656250E-1,-2.356364965E0,-2.387257576E0,-1.038632870E0
5.310627830E-1,-3.407780886E0,-3.091930151E0,-3.312972486E-1
5.509294240E-1,-4.459729671E0,-3.163302898E0,-3.254382908E-1
5.707350290E-1,-4.476773739E0,-1.779524326E0,-8.282431364E-1
5.906321870E-1,-4.674912930E0,-6.375607848E-1,-1.494566083E0
6.105293440E-1,-5.129780769E0,1.225054115E-1,-2.084722519E0
6.304875360E-1,-5.347627640E0,3.787015080E-1,-2.553438902E0
6.503846930E-1,-5.277319908E0,-2.450108156E-2,-2.351571321E0
6.702513330E-1,-4.639226913E0,4.261057824E-3,-1.866876006E0
6.901484910E-1,-3.714044571E0,4.106594622E-1,-1.296959519E0
7.100456480E-1,-2.897519350E0,1.025317073E0,-8.383631110E-1
7.299122880E-1,-2.577939987E0,1.295361519E0,-5.432848930E-1
7.498094460E-1,-2.587527275E0,1.409344912E0,-4.799016416E-1
7.697066030E-1,-2.076733112E0,1.194161415E0,-4.596616030E-1
7.896037610E-1,-1.351820588E0,1.214401484E0,-3.281014562E-1
8.094704010E-1,-9.901633263E-1,1.337439537E0,-1.230380461E-1
8.293675590E-1,-9.715211987E-1,1.480717540E0,1.725728363E-1
8.492647160E-1,-6.279733777E-1,1.668736815E0,3.637878001E-1
8.691313560E-1,-1.922802329E-1,1.998968720E0,6.402239203E-1
8.890285140E-1,7.723167539E-2,1.982989788E0,7.238472104E-1
9.089256710E-1,1.597896684E-3,1.882854939E0,8.287757635E-1
9.288228290E-1,-4.261057824E-2,1.682052612E0,9.230516553E-1
9.486894690E-1,-4.857605994E-1,1.598429322E0,8.878979087E-1
9.685866260E-1,-7.243798375E-1,1.906290770E0,9.464874864E-1
9.884837840E-1,-3.312972486E-1,1.574460864E0,1.166997194E0
1.008380941E0,-9.853696078E-2,8.575378656E-1,8.974853158E-1
1.028247581E0,-3.462109342E-2,5.347627401E-1,5.331648588E-1
1.048144738E0,-1.619201899E-1,-4.740426689E-2,6.812366247E-1
1.068041896E0,-1.384843737E-1,-7.068029642E-1,8.468852639E-1
1.087939053E0,-2.087918371E-1,-1.134506702E0,9.933590889E-1
1.107805693E0,-3.435477912E-1,-1.010936022E0,1.315601587E0
1.127702851E0,-2.838929892E-1,-1.094026566E0,1.385376453E0
1.147600008E0,3.515372798E-2,-1.210140467E0,1.579787135E0
1.167497166E0,5.225121975E-1,-7.552725077E-1,1.934520245E0
1.187394323E0,1.292698383E0,2.631203234E-1,1.977663517E0
1.207260964E0,1.636778831E0,1.369397402E0,2.094842434E0
1.227158121E0,1.328917384E0,1.812014818E0,1.932922363E0
1.247055278E0,5.225121975E-1,1.431182742E0,1.518534541E0
1.266952435E0,-1.184574127E0,-2.567287385E-1,1.104146600E0
1.286819076E0,-2.055427790E0,-8.277105093E-1,5.997439027E-1
1.306716234E0,-3.147856474E0,-1.276719451E0,-1.027980223E-1
1.326613391E0,-4.045874596E0,-1.715075731E0,-4.330300093E-1
1.346480031E0,-3.809385777E0,-9.496832490E-1,-9.480853677E-1
1.366377189E0,-4.942827225E-1,-1.262338310E-1,-8.799084425E-1
1.386274346E0,-1.139832959E-1,1.565938741E-1,-1.067927599E0
1.406171504E0,-2.098570913E-1,1.593635678E0,-1.674063087E0
1.426038144E0,4.101268202E-2,2.327070236E0,-2.517752647E0
1.445935301E0,5.816344023E-1,1.508947134E0,-2.745719194E0
1.465832458E0,7.350324988E-1,9.981527925E-1,-2.680205345E0
1.485729616E0,1.396561742E0,1.235174179E0,-2.615756989E0
1.505596256E0,1.711879969E0,7.435545921E-1,-2.667422295E0
1.525493413E0,1.798166394E0,3.941478431E-1,-3.128681660E0
1.545390571E0,1.814145327E0,-2.663161159E-1,-3.366768360E0
1.565287728E0,1.662877798E0,-6.482134461E-1,-3.411509514E0
1.585154368E0,1.063133955E0,1.448759735E-1,-2.646116972E0
1.605051526E0,8.745821118E-1,1.253283620E0,-1.420530200E0
1.624948683E0,1.077515006E0,-2.018676102E-1,-3.142530024E-1
1.644815324E0,1.352353215E0,-1.203216195E0,3.526025414E-1
1.664712482E0,1.136104584E0,-1.499359727E0,5.528722405E-1
1.684609639E0,6.583334208E-1,-8.282431364E-1,2.972087860E-1
1.704506795E0,-4.639226794E-1,-5.763080716E-1,3.227751255E-1
1.724373436E0,-1.107874990E0,-9.555422068E-1,-6.498113275E-1
1.744270594E0,-9.395632744E-1,7.723167539E-2,-7.707188129E-1
1.764167751E0,-5.821670294E-1,2.215750068E-1,8.415589482E-2
1.784034391E0,3.802994192E-1,1.065264456E-2,9.347695708E-1
1.803931549E0,1.245826840E0,4.261057824E-3,1.230380416E0
1.823828706E0,1.194694042E0,1.054079175E0,9.299758673E-1
1.843725864E0,7.685883045E-1,1.865278006E0,4.873584807E-1
1.863592504E0,5.949501991E-1,1.568601966E0,2.727077007E-1
1.883489661E0,3.036003709E-1,6.093312502E-1,-2.418150306E-1
1.903386818E0,-3.568635881E-2,2.455434501E-1,-1.093493938E0
1.923253458E0,-2.077265680E-1,3.403519988E-1,-1.917476058E0
1.943150616E0,-1.544633508E-1,7.712514400E-1,-2.844256163E0
1.963047773E0,-6.285060197E-2,8.287757635E-1,-3.358246088E0
1.982914414E0,2.636529505E-1,1.410942793E0,-3.525492668E0
2.002811572E0,2.402171344E-1,1.417334318E0,-3.523362160E0
2.022708729E0,-1.262338310E-1,1.268729925E0,-2.758502245E0
2.042605887E0,-5.352953672E-1,9.512811303E-1,-1.625060916E0
2.062503043E0,-7.536746264E-1,6.231797338E-1,-1.058340192E0
2.082369684E0,-8.016114831E-1,5.049353242E-1,-1.234641552E0
2.102266841E0,-7.291735411E-1,-3.888215125E-2,-1.883920193E0
2.122163999E0,-6.657902598E-1,-8.026767969E-1,-2.596049547E0
2.142030639E0,-5.826996565E-1,-1.459412336E0,-3.173955441E0
2.161927796E0,-5.384911895E-1,-1.710814714E0,-3.217631340E0
2.181824954E0,-5.166532397E-1,-1.749164224E0,-2.068210840E0
2.201691594E0,-5.560680628E-1,-1.889779091E0,-5.054680109E-1
2.221588751E0,-4.543353021E-1,-2.079928875E0,9.054747969E-2
2.241485909E0,-4.772384763E-1,-3.070624828E0,-3.643204570E-1
2.261383066E0,-5.028048158E-1,-4.424043179E0,-9.470201135E-1
2.281280224E0,-2.082591951E-1,-4.139084816E0,-8.026767969E-1
2.301146864E0,4.101268053E-1,-2.345179796E0,2.439455539E-1
2.321044021E0,6.780408025E-1,-6.471481323E-1,1.402420640E0
2.340941178E0,1.533980817E-1,-4.069310129E-1,1.214934111E0
2.360807819E0,1.000815988E0,1.508414507E0,7.531419992E-1
2.380704977E0,1.715075731E0,3.388606310E0,3.973436356E-1
2.400602134E0,1.188835144E0,3.609116077E0,9.054747969E-2
2.420499291E0,-7.297061384E-2,3.916444778E0,-3.147856593E-1
2.440396448E0,-1.465803862E0,2.862365484E0,-5.443501472E-1
2.460263089E0,-1.864745378E0,2.059688807E0,-7.206513882E-1
2.480160247E0,-1.695901036E0,6.572681665E-1,-9.496832490E-1
2.500057404E0,-6.636597514E-1,-2.641855776E-1,-7.621967196E-1
2.519954562E0,2.418150306E-1,2.822950855E-2,-3.488741219E-1
2.539821201E0,1.757686287E-1,-2.205097377E-1,-8.522115648E-2
2.559718359E0,-1.448759735E-1,-1.043959141E0,6.066681147E-1
2.579615516E0,4.277036786E-1,2.822950855E-2,5.060006380E-1
2.599512674E0,7.776430249E-1,-5.805691332E-2,-7.936219871E-2
2.619379314E0,1.117462397E0,-5.278385282E-1,5.326322466E-2
2.639276471E0,1.023719192E0,-1.778991669E-1,1.938781291E-1
2.659173629E0,7.195861340E-1,-3.691141307E-1,1.379517466E-1
2.679070786E0,3.765709996E-1,-1.004011750E0,-8.309062570E-2
