"event","experiment time","system time","system time text"
"START",0.000000000E0,1769618685.583,"2026-01-28 22:14:45.583 UTC+05:30"
"PAUSE",1.531970308E2,1769618838.780,"2026-01-28 22:17:18.780 UTC+05:30"
