"event","experiment time","system time","system time text"
"START",0.000000000E0,1767027774.150,"2025-12-29 22:32:54.150 UTC+05:30"
"PAUSE",3.989172801E1,1767027814.041,"2025-12-29 22:33:34.041 UTC+05:30"
