"event","experiment time","system time","system time text"
"START",0.000000000E0,1769691865.941,"2026-01-29 18:34:25.941 UTC+05:30"
"PAUSE",7.310639060E1,1769691939.047,"2026-01-29 18:35:39.047 UTC+05:30"
