"event","experiment time","system time","system time text"
"START",0.000000000E0,1769567865.223,"2026-01-28 08:07:45.223 UTC+05:30"
"PAUSE",1.580810970E2,1769568023.304,"2026-01-28 08:10:23.304 UTC+05:30"
