"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.698324600E-2,-1.809616536E-1,-3.354249001E-1,-2.777675092E-1
4.727913100E-2,-2.191779912E-1,-1.990711391E-1,-2.367548496E-1
6.737600600E-2,-2.085253596E-1,1.731053460E-3,-2.495380044E-1
8.765111000E-2,-1.575258672E-1,5.645897239E-2,-3.757717609E-1
1.079256410E-1,-1.282311082E-1,1.177116334E-1,-5.520728827E-1
1.281997040E-1,-1.447426975E-1,-5.898897350E-2,-7.825692892E-1
1.484734540E-1,-1.900164038E-1,-2.113216817E-1,-9.151946306E-1
1.687468390E-1,-1.047953144E-1,-3.892207146E-1,-1.215998411E0
1.890200160E-1,1.930790395E-2,-8.141277432E-1,-1.488173366E0
2.092930370E-1,3.090596199E-1,-1.396693826E0,-1.850229740E0
2.295657980E-1,6.833665967E-1,-2.208691120E0,-2.141046762E0
2.498386100E-1,1.189100519E-1,-2.124668360E0,-2.088316202E0
2.701112660E-1,-1.665806025E-1,-1.503220201E0,-1.950364590E0
2.903838190E-1,-4.940159991E-2,-1.161803126E0,-1.824663401E0
3.106560060E-1,-5.259739161E-1,-2.640522122E-1,-1.351286888E0
3.310562660E-1,-9.114661813E-1,2.753706574E-1,-7.159903049E-1
3.512009540E-1,-1.085636854E0,7.162566185E-1,-3.289001584E-1
3.714734540E-1,-1.191630483E0,1.054477811E0,-4.423507154E-1
3.917457460E-1,-1.198554754E0,9.926925302E-1,-5.962813497E-1
4.120180890E-1,-1.127182126E0,5.836313367E-1,-8.065377474E-1
4.322904330E-1,-1.556350231E0,-7.539403439E-1,-1.147954702E0
4.525627250E-1,-1.916808724E0,-3.620564938E-1,-1.048352599E0
4.728350160E-1,-1.729455471E0,9.644630551E-1,-5.653886795E-1
4.931073080E-1,-1.363537431E0,9.186567068E-1,-3.448790908E-1
5.133796000E-1,-1.180445313E0,4.554001987E-1,-3.565970063E-1
5.336518390E-1,-1.119192600E0,-1.997369342E-3,-3.518033028E-1
5.539241830E-1,-9.013462067E-1,-7.235803008E-1,-3.688475490E-1
5.741964230E-1,-8.209187984E-1,-6.591318846E-1,-4.359591305E-1
5.944686620E-1,-1.012133598E0,5.912213027E-2,-4.615254700E-1
6.147408500E-1,-1.335307956E0,5.246423483E-1,-3.795001805E-1
6.350130890E-1,-1.767272353E0,2.572611570E-1,-1.328916401E-1
6.552852770E-1,-2.031857252E0,-2.756369673E-2,2.227732539E-1
6.755575690E-1,-2.048368931E0,8.522109129E-3,5.150549412E-1
6.958298080E-1,-1.708150268E0,9.853688627E-2,5.241097212E-1
7.161019960E-1,-1.018525243E0,-1.058605760E-1,3.740406930E-1
7.363742350E-1,-3.635212183E-1,-4.083954394E-1,3.032006621E-1
7.566464750E-1,-1.511342824E-1,-5.181176066E-1,3.639206886E-1
7.769186100E-1,-2.043974549E-1,-5.170523524E-1,5.581981540E-1
7.971909020E-1,-2.825611830E-1,-5.994771123E-1,7.206508517E-1
8.174631410E-1,-4.221107066E-1,-6.117276549E-1,6.370276809E-1
8.377353290E-1,-5.621928573E-1,-4.467449486E-1,4.857602119E-1
8.580075160E-1,-5.067991614E-1,-4.861596823E-1,6.295707822E-1
8.782797560E-1,-2.841590643E-1,-7.390266657E-1,9.438235760E-1
8.985519440E-1,4.926844500E-3,-8.088014126E-1,1.013997793E0
9.188241830E-1,7.629951090E-2,-3.684480488E-1,8.857667446E-1
9.390963710E-1,2.094574571E-1,-8.082687855E-2,7.201182246E-1
9.593686100E-1,4.095938802E-1,-4.297007322E-1,6.077328920E-1
9.796407980E-1,5.597960353E-1,-3.988080621E-1,5.411539078E-1
9.999129850E-1,5.805686712E-1,1.331579551E-4,4.410191476E-1
1.020185173E0,5.305013061E-1,2.727074921E-1,3.362238407E-1
1.040585173E0,5.134570599E-1,1.438105851E-1,2.872217000E-1
1.060729548E0,4.452801943E-1,2.130527347E-1,1.982721984E-1
1.081001787E0,3.733749092E-1,4.159854650E-1,8.908267319E-2
1.101273975E0,2.808301151E-1,2.423474789E-1,-1.957421936E-2
1.121546214E0,1.940111369E-1,-4.660528619E-3,-1.584579647E-1
1.141818402E0,2.729738131E-2,7.989477366E-2,-2.724411786E-1
1.162090589E0,-3.912180662E-1,2.572611570E-1,-4.775044322E-1
1.182362777E0,-4.396875799E-1,7.231808305E-1,-4.737760127E-1
1.202634964E0,-2.314285189E-1,6.363618970E-1,-1.143826842E-1
1.223034964E0,9.440898895E-2,3.265033066E-1,3.229080439E-1
1.243179339E0,3.936149180E-1,1.560611278E-1,4.054659605E-1
1.263451527E0,5.427518487E-1,-1.010668874E-1,3.996070325E-1
1.283723714E0,6.732466221E-1,-1.681784987E-1,3.079943359E-1
1.303995902E0,6.796382070E-1,-4.110586047E-1,3.271690905E-1
1.324268037E0,7.637940049E-1,-8.343677521E-1,6.679202914E-1
1.344540225E0,1.032639980E0,-1.135171533E0,1.403351665E0
1.364812360E0,1.040096760E0,-9.930920005E-1,1.847433448E0
1.385084600E0,8.882967234E-1,-6.090644598E-1,2.017343044E0
1.405356735E0,5.864276290E-1,-4.584628344E-1,1.851694465E0
1.425756735E0,3.691138625E-1,-1.081908345E0,1.449690700E0
1.446059027E0,8.749809265E-1,-3.924165070E-1,4.479433596E-1
1.466331266E0,1.305347443E0,-1.649827063E-1,-2.298306376E-1
1.486446110E0,1.615206003E0,2.173137814E-1,-3.214432895E-1
1.506718141E0,1.582715511E0,6.427534223E-1,-1.616537571E-1
1.527118141E0,1.865010262E0,1.160871029E0,-3.289001584E-1
1.547405381E0,2.182325840E0,1.408012271E0,-6.952176690E-1
1.567529027E0,2.395378351E0,1.730654001E0,-1.259141564E0
1.587802152E0,2.662093878E0,1.975664616E0,-1.871535063E0
1.608075173E0,2.743053913E0,2.176333666E0,-2.200168848E0
1.628347933E0,2.777674913E0,2.494314909E0,-2.283126354E0
1.648620641E0,2.412955284E0,3.032139778E0,-2.451437950E0
1.668893194E0,2.163151026E0,2.998584032E0,-3.093126059E0
1.689165641E0,2.099767685E0,2.333460093E0,-3.629353285E0
1.709438141E0,1.718003988E0,1.869138241E0,-3.438671112E0
1.729710433E0,1.087501049E0,1.652889729E0,-2.957304955E0
1.749982777E0,6.897581816E-1,1.423458576E0,-2.827875376E0
1.770255016E0,5.976129174E-1,1.034237862E0,-2.802974939E0
1.790527308E0,5.960150361E-1,4.580633640E-1,-2.415751696E0
1.810799496E0,5.352949500E-1,-1.090563685E-1,-1.970071912E0
1.831071735E0,3.627222776E-1,-7.352982163E-1,-1.518533349E0
1.851343923E0,9.121319652E-2,-9.824393988E-1,-9.364998937E-1
1.871616110E0,-1.127847880E-1,-7.550055981E-1,-5.057339072E-1
1.891888298E0,-1.154479459E-1,-3.141196072E-1,-6.053360701E-1
1.912160433E0,1.327584833E-1,-1.474058628E-1,-9.892304540E-1
1.932432621E0,4.985433817E-1,-1.532648057E-1,-1.068592548E0
1.952704756E0,6.641919017E-1,-9.520793706E-2,-8.550072312E-1
1.972976891E0,6.034718752E-1,-8.988162130E-2,-7.724493146E-1
1.993249079E0,4.942823350E-1,-2.054627240E-1,-7.468829751E-1
2.013521214E0,4.181159735E-1,-6.889592409E-1,-6.218476295E-1
2.033793350E0,3.090596199E-1,-1.137834668E0,-4.194475710E-1
2.054065485E0,1.774995476E-1,-1.208142161E0,-2.095906287E-1
2.074337621E0,8.801741153E-2,-8.050730228E-1,-3.874896467E-2
2.094609756E0,-1.117195264E-1,-4.206459820E-1,1.583248079E-1
2.114881891E0,-3.965443969E-1,-2.928143442E-1,1.167795286E-1
2.135154027E0,-3.864243925E-1,-1.868206114E-1,-1.201084778E-1
2.155426162E0,-1.804290265E-1,-4.350270331E-1,-3.624559641E-1
2.175698246E0,-3.715106845E-2,-7.992140651E-1,-3.187801540E-1
2.195970381E0,-1.127847880E-1,-7.560708523E-1,-8.295740932E-2
2.216242516E0,-2.351569533E-1,-7.856319658E-3,1.391500682E-1
2.236514600E0,-5.174518228E-1,1.033305749E-1,-7.496792823E-2
2.256786735E0,-5.313002467E-1,3.994738683E-2,-1.398158520E-1
2.277058871E0,-4.151864946E-1,-1.298290044E-1,1.198421582E-3
