"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.641252100E-2,-3.190899849E0,3.652249098E0,8.523474693E0
4.671283300E-2,-3.000469923E0,3.522533894E0,8.646347046E0
6.696804200E-2,-2.774601460E0,3.382767439E0,8.776608467E0
8.708481300E-2,-2.608641863E0,3.229499102E0,8.884576797E0
1.073580420E-1,-2.476208448E0,3.063040733E0,8.980898857E0
1.276308540E-1,-2.302255392E0,2.850254536E0,9.096486092E0
1.479017400E-1,-2.021371603E0,2.559151173E0,9.248523712E0
1.683033020E-1,-1.647878289E0,2.183917522E0,9.417291641E0
1.884463750E-1,-1.222125530E0,1.738557220E0,9.573620796E0
2.087182500E-1,-7.805204988E-1,1.271981001E0,9.692432404E0
2.289899170E-1,-3.961377740E-1,8.628351092E-1,9.760582924E0
2.492614270E-1,-8.270580322E-2,5.460634828E-1,9.791085243E0
2.695328860E-1,1.417364478E-1,2.933152318E-1,9.801239014E0
2.898042920E-1,4.306766093E-1,6.259409338E-2,9.796988487E0
3.100755420E-1,6.650697589E-1,-1.522446424E-1,9.782887459E0
3.303466360E-1,6.545296311E-1,-3.406729698E-1,9.778850555E0
3.506177290E-1,6.101433039E-1,-5.172037482E-1,9.773976326E0
3.708889270E-1,6.320850253E-1,-7.014315724E-1,9.761088371E0
3.911599690E-1,6.154570580E-1,-8.785048723E-1,9.747811317E0
4.114310110E-1,3.872366250E-1,-1.072664618E0,9.740115166E0
4.317020520E-1,-6.464522332E-2,-1.329651237E0,9.715875626E0
4.519729900E-1,-7.651544213E-1,-1.640907168E0,9.638068199E0
4.723730940E-1,-1.792992711E0,-1.917499423E0,9.448744774E0
4.925149690E-1,-2.685320377E0,-2.026916981E0,9.211462975E0
5.127859580E-1,-3.146033049E0,-1.907248378E0,9.090394020E0
5.330568960E-1,-3.318424702E0,-1.627278447E0,9.083523750E0
5.533278860E-1,-3.481702805E0,-1.342888236E0,9.068890572E0
5.735988230E-1,-3.646438360E0,-1.054185033E0,9.042265892E0
5.938698130E-1,-3.817315817E0,-9.002757072E-1,8.988214493E0
6.141407500E-1,-4.001869678E0,-9.820399284E-1,8.898934364E0
6.344116360E-1,-4.217317581E0,-1.232517600E0,8.767297745E0
6.546825730E-1,-4.608540058E0,-1.527629852E0,8.520451546E0
6.749535110E-1,-5.157399654E0,-1.715421319E0,8.162655830E0
6.952244480E-1,-5.696666241E0,-1.793295741E0,7.778333187E0
7.154953860E-1,-6.096304417E0,-1.851936579E0,7.454917431E0
7.357662710E-1,-6.411767006E0,-1.958183646E0,7.157174110E0
7.560372080E-1,-6.726459503E0,-2.079873800E0,6.826365471E0
7.763080940E-1,-6.981488228E0,-2.130427122E0,6.549082756E0
7.967057500E-1,-7.083960056E0,-2.123065710E0,6.440536022E0
8.170142920E-1,-7.080623627E0,-2.080727339E0,6.457996845E0
8.372839790E-1,-7.140713692E0,-1.989394426E0,6.420506954E0
8.575382500E-1,-7.232230186E0,-1.851117849E0,6.359135151E0
8.776541360E-1,-7.312636852E0,-1.768260837E0,6.290387630E0
8.979249170E-1,-7.373066425E0,-1.763873219E0,6.220693111E0
9.183267920E-1,-7.591491699E0,-1.809994578E0,5.938313961E0
9.384685110E-1,-7.848678589E0,-1.905636787E0,5.562119961E0
9.588699690E-1,-8.072393417E0,-2.075145960E0,5.167263985E0
9.790128860E-1,-8.213627815E0,-2.310280800E0,4.834182262E0
9.992846560E-1,-8.331263542E0,-2.568416834E0,4.490396976E0
1.019556271E0,-8.370736122E0,-2.794715881E0,4.276766300E0
1.039827104E0,-8.380297661E0,-2.913235664E0,4.177805424E0
1.060227729E0,-8.294604301E0,-2.867035389E0,4.376073360E0
1.080369969E0,-8.100884438E0,-2.571918964E0,4.891963482E0
1.100641271E0,-7.878258228E0,-1.962901950E0,5.500040531E0
1.120912469E0,-7.702303886E0,-1.086132407E0,5.972036839E0
1.141183354E0,-7.503641605E0,-1.577035636E-1,6.311963081E0
1.161583563E0,-7.184056282E0,5.193752050E-1,6.655071735E0
