"event","experiment time","system time","system time text"
"START",0.000000000E0,1769581257.339,"2026-01-28 11:50:57.339 UTC+05:30"
"PAUSE",8.574912018E1,1769581343.088,"2026-01-28 11:52:23.088 UTC+05:30"
