"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.610902900E-2,-5.394228697E-1,1.267663687E-1,-9.241162241E-2
6.622173800E-2,-7.348987460E-1,1.656484902E-1,6.311687082E-2
8.649152900E-2,-8.456861973E-1,5.326318368E-2,1.984053552E-1
1.067613730E-1,-8.627303839E-1,-1.399490088E-1,2.388853729E-1
1.270312690E-1,-8.685893416E-1,-8.775109053E-2,2.463422120E-1
1.473012170E-1,-1.126250029E0,1.411474347E-1,2.170474678E-1
1.675711130E-1,-1.511342764E0,2.860232890E-1,2.559295893E-1
1.878411130E-1,-1.672064424E0,2.609896064E-1,3.992075622E-1
2.081110080E-1,-1.607083321E0,3.446127772E-1,4.661859870E-1
2.283810610E-1,-1.421860695E0,-2.916159295E-2,5.141228437E-1
2.486510080E-1,-1.227450013E0,-5.925529003E-1,6.142576337E-1
2.689210610E-1,-1.013465166E0,-6.303697824E-1,6.355628967E-1
2.891911130E-1,-1.079910994E0,-3.066627681E-1,5.705818534E-1
3.094611130E-1,-1.361673236E0,1.842906028E-1,5.087965727E-1
3.297311130E-1,-1.553820133E0,6.651239991E-1,6.105292439E-1
3.500011650E-1,-1.798830867E0,9.921599030E-1,8.906935453E-1
3.702711650E-1,-2.220009327E0,6.848313808E-1,1.103080511E0
3.905412170E-1,-2.327068329E0,2.886864543E-1,8.949546218E-1
4.109412170E-1,-2.107091427E0,5.278381109E-1,7.325019240E-1
4.310813210E-1,-1.953826666E0,1.209873199E0,7.277082205E-1
4.513513730E-1,-2.003361464E0,2.115214109E0,6.819018722E-1
4.716213210E-1,-2.050233126E0,2.704704285E0,5.391565561E-1
4.918913730E-1,-2.168876886E0,3.227615595E0,3.752391040E-1
5.122913730E-1,-2.330264330E0,3.616303682E0,4.034686089E-1
5.324314250E-1,-2.547578096E0,3.530017376E0,6.222470999E-1
5.527015290E-1,-2.857969284E0,3.098718882E0,9.418262243E-1
5.729715290E-1,-3.009236574E0,2.478335857E0,1.472726941E0
5.932415810E-1,-2.878209114E0,2.025199413E0,1.939711928E0
6.136415810E-1,-2.450639009E0,2.118942499E0,2.021204710E0
6.337816860E-1,-1.741839170E0,2.199236870E0,1.702690721E0
6.540517380E-1,-9.628651738E-1,2.319611549E0,1.583381295E0
6.743217900E-1,-1.869537681E-1,2.327068329E0,1.549825430E0
6.945918420E-1,2.880206704E-1,2.230662107E0,1.510410666E0
7.149918420E-1,4.675175846E-1,1.881921411E0,1.463139653E0
7.351318940E-1,7.017424107E-1,1.577921748E0,1.419463754E0
7.554019460E-1,4.861596823E-1,8.531430364E-1,1.482846975E0
7.756719980E-1,1.491369121E-2,5.889576077E-1,1.105211020E0
7.959420500E-1,-1.134505793E-1,2.727074921E-1,9.864341021E-1
8.162121020E-1,-1.241032109E-1,-3.029343486E-1,1.202682614E0
8.364821540E-1,-2.982738316E-1,-4.993423223E-1,1.013065696E0
8.567522060E-1,-3.834949136E-1,-5.030707717E-1,4.379565120E-1
8.770222580E-1,-3.930822909E-1,-8.812393546E-1,2.452769578E-1
8.972923110E-1,-3.185138404E-1,-1.294428468E0,4.500738904E-2
9.175623630E-1,-5.303681493E-1,-6.037381887E-1,-2.984069884E-1
9.378324150E-1,-7.727156281E-1,-5.179844499E-1,-6.430197358E-1
9.581024670E-1,-6.864292622E-1,-3.647196293E-1,-6.844319105E-1
9.783725190E-1,-7.269092798E-1,-3.759049177E-1,-8.367645741E-1
9.986426230E-1,-8.728504181E-1,-5.099949837E-1,-8.793751597E-1
1.018912675E0,-9.836378098E-1,-7.603319287E-1,-5.892239809E-1
1.039182727E0,-1.784982443E0,-1.208674788E0,-4.560659826E-1
1.059452779E0,-1.990578294E0,-4.616586268E-1,-1.327584833E-1
1.079722883E0,-6.193176508E-1,2.849580348E-1,-1.849564016E-1
1.099992936E0,-2.657832801E-1,6.566019058E-1,1.494032294E-1
1.120263040E0,2.716422267E-2,6.811029315E-1,5.135902166E-1
1.140533092E0,5.079975724E-1,6.459492445E-1,7.575356364E-1
1.160803196E0,9.195888638E-1,4.820317924E-1,1.228781581E0
1.181203196E0,1.167129517E0,5.070654750E-1,1.425322771E0
1.201343352E0,1.515470743E0,5.411539078E-1,1.614806533E0
1.221613456E0,1.778990269E0,5.315665603E-1,1.833185554E0
1.241883508E0,1.501622319E0,6.145239472E-1,1.555684447E0
1.262153613E0,9.121319652E-1,7.993472219E-1,6.989461184E-1
1.282423717E0,7.363634706E-1,5.166528821E-1,1.797632426E-1
1.302693821E0,7.901592851E-1,-1.085237339E-1,1.600558609E-1
1.322963925E0,8.886961937E-1,-3.966775537E-1,-2.435459048E-1
1.343233925E0,6.926876903E-1,2.705769539E-1,-9.731183648E-1
1.363504081E0,4.856270552E-1,4.596612751E-1,-1.975265145E0
1.383774186E0,2.805638015E-1,2.569948509E-2,-3.531215906E0
1.404044342E0,-2.737727463E-1,1.275386930E0,-4.648943901E0
1.424314446E0,-1.976063997E-1,1.460210085E0,-5.549890518E0
1.444714446E0,2.929474972E-2,4.442149401E-1,-5.481846809E0
1.464854654E0,-4.388886094E-1,1.244494200E0,-4.155859947E0
1.485124758E0,-2.886864543E-1,9.330378175E-1,-2.416683674E0
1.505394915E0,4.147870243E-1,5.518065691E-1,-1.486974835E0
1.525665019E0,6.724476814E-1,5.475454926E-1,-1.434777021E0
1.545935123E0,7.422224283E-1,6.038713455E-1,-1.457147479E0
1.566205279E0,5.745765567E-1,7.716503739E-1,-1.397492766E0
1.586475383E0,4.781702161E-1,5.603286624E-1,-9.017456770E-1
1.606745540E0,5.474123359E-1,1.374190152E-1,-4.970786572E-1
1.627015644E0,6.058686972E-1,-4.087949172E-2,-6.137250066E-1
1.647285800E0,3.673827946E-1,1.475390196E-1,-6.940192580E-1
1.667555904E0,6.697845459E-2,-1.623195410E-1,-1.078046799E0
1.687826061E0,-3.440801501E-1,-3.817638457E-1,-1.703223348E0
1.708096217E0,-3.408843577E-1,-9.680583328E-2,-1.462473869E0
1.728366373E0,-1.214400530E-1,-3.828291297E-1,-6.131923795E-1
1.748636425E0,-8.468846232E-2,-2.166479975E-1,-1.094558388E-1
1.768906633E0,-1.720400751E-1,-1.388837546E-1,2.956106514E-2
1.789176790E0,-1.336905807E-1,-9.680583328E-2,3.435475379E-2
1.809446946E0,1.276984811E-1,1.757684946E-1,1.131842583E-1
1.829717102E0,2.757701278E-1,2.364885211E-1,-3.994738683E-3
1.849987258E0,3.822965026E-1,-1.021321490E-1,-4.523375630E-1
1.870257415E0,-2.743053734E-1,-7.997466922E-1,-9.789772630E-1
1.890527571E0,-7.812377214E-1,-3.595264861E-3,-2.749711871E-1
1.910927571E0,-3.014696240E-1,2.093243003E-1,7.053377032E-1
1.931067883E0,-2.519348562E-1,2.641853690E-1,8.070703745E-1
1.951338040E0,-4.829638898E-1,-4.376901984E-1,7.633945346E-1
1.971608248E0,-8.376966715E-1,-2.549974918E-1,5.040028691E-1
1.991878404E0,-6.752439737E-1,-4.407528415E-2,-7.323687524E-2
2.012278404E0,1.810948178E-2,1.986716688E-1,-9.507477880E-1
2.032418717E0,-4.527370632E-2,6.028060913E-1,-1.448625445E0
2.052688925E0,-5.063996911E-1,3.131875098E-1,-1.826128244E0
2.072959081E0,-8.669914603E-1,-1.424790081E-2,-2.367148876E0
2.093229290E0,-8.904272318E-1,6.285055727E-2,-2.813494444E0
2.113629290E0,-2.135853618E-1,3.312969804E-1,-2.607898474E0
2.133769654E0,3.231743574E-1,1.003877878E0,-2.245309353E0
2.154039758E0,2.033322006E-1,8.643282652E-1,-2.406563759E0
2.174310019E0,-3.568633273E-2,5.592634156E-2,-2.783134460E0
2.194580175E0,-9.587372839E-2,-4.057323039E-1,-2.663824797E0
2.214850383E0,-1.326253265E-1,-2.576606572E-1,-2.033854723E0
2.235120592E0,-1.933453530E-1,-2.012016773E-1,-1.695233941E0
2.255390852E0,-3.323622644E-1,-8.226498365E-1,-1.445962191E0
2.275660956E0,-5.394228697E-1,-6.580666304E-1,-1.279248476E0
2.295931113E0,-8.440882564E-1,-1.942774504E-1,-1.102547884E0
2.316201321E0,-7.077345252E-1,2.327601016E-1,-8.474172354E-1
2.336471529E0,-5.346291661E-1,3.259706795E-1,-5.684512854E-1
2.356741738E0,-2.194443047E-1,-7.922898233E-2,-4.113249183E-1
2.377011894E0,-9.321057051E-2,-5.568665862E-1,-3.175817132E-1
2.397282102E0,-2.024000883E-1,-4.993423223E-1,-4.214449227E-1
2.417682102E0,-3.025348783E-1,-1.584579609E-2,-3.660512269E-1
2.437822519E0,-2.258358896E-1,-4.940159991E-2,-2.675143182E-1
2.458092727E0,-4.048001766E-2,-1.037300453E-1,-2.233058959E-1
2.478362936E0,1.394163817E-1,-2.123869359E-1,-2.265016884E-1
2.498633144E0,4.687159881E-2,-3.977428079E-1,-2.584595978E-1
2.518903352E0,-3.462106735E-2,-6.857634783E-1,-3.814975321E-1
2.539173508E0,8.668582886E-2,-7.592666745E-1,-3.735080659E-1
2.559443717E0,1.287637353E-1,-1.958753467E-1,-2.296974659E-1
2.579713925E0,1.569932252E-1,-4.940159991E-2,1.145158429E-2
2.599984133E0,1.553953290E-1,1.544632316E-1,1.510011256E-1
2.620254342E0,2.012016773E-1,6.924213469E-2,1.350221634E-1
2.640524550E0,2.773680091E-1,8.655266836E-3,1.547295451E-1
2.660794758E0,3.689807057E-1,6.977476925E-2,2.394180000E-1
2.681064967E0,3.540669978E-1,3.243727684E-1,4.342280924E-1
2.701335175E0,3.636543751E-1,5.044023395E-1,7.724493146E-1
2.721605436E0,3.300985694E-1,4.601939023E-1,1.272457361E0
2.741875644E0,-5.326318089E-3,7.700524330E-1,1.525324345E0
2.762145852E0,-1.411474347E-1,5.273054838E-1,1.075916290E0
2.782416061E0,7.816372067E-2,-3.502054140E-2,6.456829309E-1
2.802686269E0,8.828372508E-2,-1.399490088E-1,5.551354885E-1
2.822956477E0,2.130527236E-2,1.747032404E-1,6.707166433E-1
2.843226686E0,1.118526794E-2,4.271707237E-1,6.430197358E-1
2.863496894E0,1.225053146E-2,6.597976685E-1,4.677838981E-1
2.883767102E0,-5.326318089E-3,8.451535702E-1,3.384875357E-1
2.904037311E0,-6.338318437E-2,7.066692710E-1,2.745717168E-1
2.924307571E0,-1.864211410E-1,4.245075583E-1,1.211737394E-1
2.944577779E0,-1.619200706E-1,1.565937549E-1,-5.592633970E-3
2.964847988E0,-9.427583218E-2,1.131842658E-2,-8.175898343E-2
2.985118196E0,-1.310274303E-1,-1.420795321E-1,-1.275653243E-1
3.005388404E0,-1.858884990E-1,-2.528669536E-1,-1.774995476E-1
3.025658665E0,-2.460758984E-1,-2.608564198E-1,-2.185122073E-1
3.045928873E0,-2.876211703E-1,-2.342248410E-1,-2.366216928E-1
3.066199081E0,-3.302317262E-1,-1.484711170E-1,-1.828258783E-1
3.086469290E0,-3.552654386E-1,-2.330264263E-2,-8.761793375E-2
3.106739498E0,-3.717769980E-1,1.299621612E-1,1.121189967E-1
3.127009706E0,-3.387538493E-1,3.882885873E-1,2.697780132E-1
3.147279915E0,-1.715074480E-1,5.326318145E-1,2.607232630E-1
3.167550175E0,2.130527282E-3,4.745749533E-1,1.829590350E-1
3.187820383E0,4.580633715E-2,3.861580789E-1,8.016108721E-2
3.208220383E0,2.077264152E-2,3.078611791E-1,2.050632425E-2
3.228360800E0,-4.420844093E-2,1.869537681E-1,-1.864211401E-3
3.248631008E0,-1.416800618E-1,1.310274303E-1,-4.447475821E-2
3.268901269E0,-2.322274745E-1,1.933453530E-1,-1.243695319E-1
3.289171477E0,-2.812296152E-1,2.796317041E-1,-2.499374747E-1
3.309441686E0,-3.073285520E-1,2.743053734E-1,-3.820301592E-1
3.329711894E0,-3.291664720E-1,2.162485123E-1,-4.933502376E-1
3.349982102E0,-3.563306928E-1,1.406148076E-1,-5.759081841E-1
3.370252363E0,-3.845601678E-1,6.444845349E-2,-6.366282105E-1
3.390522571E0,-3.643201590E-1,1.611211337E-2,-6.563355327E-1
3.410922571E0,-3.147853911E-1,7.510108501E-2,-6.057355404E-1
3.431220904E0,-2.950780392E-1,1.619200706E-1,-5.098618269E-1
3.451333769E0,-3.126548827E-1,2.551306486E-1,-4.129228294E-1
3.471603925E0,-3.062632978E-1,4.042675495E-1,-3.639206886E-1
3.491874029E0,-2.061285079E-1,4.708465338E-1,-3.484743834E-1
3.512274029E0,-1.731053442E-1,1.717737690E-2,-2.163816839E-1
3.532414394E0,-2.039979845E-1,-2.741722167E-1,-4.926844314E-2
3.552684498E0,-5.060002208E-2,3.049317189E-2,1.696432382E-1
3.572954654E0,1.953427196E-1,3.829622865E-1,3.454117477E-1
3.593224811E0,3.657849133E-1,4.058654606E-1,3.906854391E-1
3.613624811E0,5.388902426E-1,4.037349224E-1,3.560643792E-1
3.633765279E0,8.093340397E-1,2.753706574E-1,4.368912578E-1
3.654035436E0,1.107075214E0,-5.193160381E-3,6.366282105E-1
3.674305696E0,1.432380080E0,-3.071953952E-1,8.310387731E-1
3.694575852E0,1.739042878E0,-4.526038766E-1,1.004543662E0
3.714975852E0,2.017076731E0,-4.829638898E-1,1.178714275E0
3.735116269E0,2.312554121E0,-4.712460041E-1,1.378983736E0
3.755386477E0,2.630535364E0,-2.528669536E-1,1.686179161E0
3.775656686E0,2.747181654E0,2.450106442E-1,2.119075775E0
3.795926894E0,2.434526920E0,7.290397882E-1,2.489787340E0
3.816197050E0,1.804556608E0,8.835030198E-1,2.734132290E0
3.836467311E0,1.193761110E0,3.195790946E-1,2.489787340E0
3.856737519E0,9.158604145E-1,-4.270375669E-1,2.069540977E0
3.877007727E0,9.925593734E-1,-8.514119387E-1,1.982322454E0
3.897277936E0,1.069790959E0,-1.259807467E0,2.106825113E0
3.917548144E0,9.946899414E-1,-1.430249572E0,2.382728338E0
3.937818352E0,8.604667187E-1,-1.440902233E0,2.549442291E0
3.958088561E0,7.358308434E-1,-1.588308096E0,2.261288404E0
3.978358769E0,5.878923535E-1,-1.771533489E0,1.819869757E0
3.998628977E0,4.510059953E-1,-1.684714437E0,1.548760176E0
4.018899186E0,2.832269669E-1,-1.566603303E0,1.294827938E0
4.039169394E0,3.728422802E-3,-1.314135909E0,9.912278056E-1
4.059439602E0,-2.561959028E-1,-8.961530328E-1,7.548724413E-1
4.079709811E0,-4.324970245E-1,-4.169175625E-1,5.796365738E-1
4.099980019E0,-5.026713014E-1,-1.415469050E-1,4.550007284E-1
4.120250227E0,-4.767054915E-1,5.805686861E-2,3.986749053E-1
4.140520436E0,-5.101281404E-1,3.707117438E-1,3.699128032E-1
4.160790644E0,-7.199850678E-1,6.661892533E-1,3.070622385E-1
4.181060852E0,-1.064464688E0,7.961513996E-1,1.105211005E-1
4.201331061E0,-1.388837457E0,6.486123800E-1,-2.882869840E-1
4.221601269E0,-1.493765950E0,5.400886536E-1,-6.605966091E-1
4.241871477E0,-1.177915215E0,1.695500255E0,-3.479417264E-1
4.262141633E0,-6.597976685E-1,1.802559257E0,5.352949724E-2
4.282411842E0,-2.806969583E-1,-5.387570858E-1,-9.108003974E-1
4.302682050E0,-1.720400751E-1,-1.019723654E0,-1.485376954E0
4.322952258E0,-5.255744457E-1,-1.585911214E-1,-1.407612801E0
4.343222467E0,-9.937578440E-1,6.097303033E-1,-1.206277966E0
4.363492675E0,-1.308942676E0,1.127847910E0,-1.181377411E0
4.383762831E0,-1.328117490E0,1.204014182E0,-1.136103630E0
4.404033040E0,-1.112934232E0,1.279647946E0,-1.037566781E0
4.424303248E0,-8.584693074E-1,1.423991203E0,-1.111070037E0
4.444573456E0,-6.241113544E-1,1.339835286E0,-1.305347443E0
4.464843665E0,-4.904207587E-1,1.082707286E0,-1.399090648E0
