"event","experiment time","system time","system time text"
"START",0.000000000E0,1769576300.320,"2026-01-28 10:28:20.320 UTC+05:30"
"PAUSE",7.803231231E1,1769576378.352,"2026-01-28 10:29:38.352 UTC+05:30"
