"event","experiment time","system time","system time text"
"START",0.000000000E0,1767026692.957,"2025-12-29 22:14:52.957 UTC+05:30"
"PAUSE",5.654634238E1,1767026749.503,"2025-12-29 22:15:49.503 UTC+05:30"
