"event","experiment time","system time","system time text"
"START",0.000000000E0,1767027928.618,"2025-12-29 22:35:28.618 UTC+05:30"
"PAUSE",5.966760097E1,1767027988.285,"2025-12-29 22:36:28.285 UTC+05:30"
