"event","experiment time","system time","system time text"
"START",0.000000000E0,1767027170.360,"2025-12-29 22:22:50.360 UTC+05:30"
"PAUSE",5.546255357E1,1767027225.823,"2025-12-29 22:23:45.823 UTC+05:30"
