"event","experiment time","system time","system time text"
"START",0.000000000E0,1767027414.449,"2025-12-29 22:26:54.449 UTC+05:30"
"PAUSE",4.858408253E1,1767027463.033,"2025-12-29 22:27:43.033 UTC+05:30"
