"event","experiment time","system time","system time text"
"START",0.000000000E0,1769692566.407,"2026-01-29 18:46:06.407 UTC+05:30"
"PAUSE",7.979169664E1,1769692646.199,"2026-01-29 18:47:26.199 UTC+05:30"
