"event","experiment time","system time","system time text"
"START",0.000000000E0,1769615340.089,"2026-01-28 21:19:00.089 UTC+05:30"
"PAUSE",1.717053823E2,1769615511.794,"2026-01-28 21:21:51.794 UTC+05:30"
