"event","experiment time","system time","system time text"
"START",0.000000000E0,1769692044.996,"2026-01-29 18:37:24.996 UTC+05:30"
"PAUSE",6.001149133E1,1769692105.008,"2026-01-29 18:38:25.008 UTC+05:30"
