"event","experiment time","system time","system time text"
"START",0.000000000E0,1767027276.587,"2025-12-29 22:24:36.587 UTC+05:30"
"PAUSE",5.449793310E1,1767027331.085,"2025-12-29 22:25:31.085 UTC+05:30"
