"event","experiment time","system time","system time text"
"START",0.000000000E0,1769619076.115,"2026-01-28 22:21:16.115 UTC+05:30"
"PAUSE",7.686059627E1,1769619152.975,"2026-01-28 22:22:32.975 UTC+05:30"
