"event","experiment time","system time","system time text"
"START",0.000000000E0,1769692442.068,"2026-01-29 18:44:02.068 UTC+05:30"
"PAUSE",7.424341101E1,1769692516.311,"2026-01-29 18:45:16.311 UTC+05:30"
