"event","experiment time","system time","system time text"
"START",0.000000000E0,1769615337.991,"2026-01-28 21:18:57.991 UTC+05:30"
"PAUSE",1.734240780E2,1769615511.415,"2026-01-28 21:21:51.415 UTC+05:30"
