"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.014064500E-2,2.002695650E-1,-5.510076284E-1,-3.303648829E-1
6.015387400E-2,3.403517306E-1,-5.632581711E-1,-4.512723088E-1
8.020283200E-2,4.117243886E-1,-5.552686453E-1,-4.688491523E-1
1.002916870E-1,3.776359558E-1,-4.780370593E-1,-3.612575233E-1
1.204228320E-1,3.004043400E-1,-3.145190775E-1,-3.452785909E-1
1.405968950E-1,2.759032845E-1,-1.163800508E-1,-3.740406930E-1
1.608127280E-1,2.721748650E-1,-1.286305785E-1,-3.085269928E-1
1.810675200E-1,2.545980215E-1,-3.001380265E-1,-2.121206224E-1
2.013571030E-1,2.327601016E-1,-5.004075766E-1,-1.498026997E-1
2.216760620E-1,2.375537902E-1,-5.861613154E-1,-1.151816323E-1
2.420180410E-1,2.231727391E-1,-4.599275887E-1,-9.547425061E-2
2.623759570E-1,1.235705838E-1,-2.010685056E-1,-8.801741153E-2
2.827424160E-1,-3.195791040E-3,8.708529919E-2,-8.269108832E-2
3.031099160E-1,-1.230379492E-1,2.996053994E-1,-4.913528636E-2
3.233247070E-1,-2.828274965E-1,4.695149362E-1,-9.187898599E-3
3.435132490E-1,-5.342296958E-1,7.038729787E-1,4.247738793E-2
3.636963740E-1,-8.639287949E-1,9.606015086E-1,1.655153334E-1
3.838799160E-1,-1.084438443E0,1.247157454E0,3.780354261E-1
4.040639780E-1,-1.111070037E0,1.483113289E0,6.139913201E-1
4.242487700E-1,-1.070057273E0,1.674860716E0,8.659262061E-1
4.444343950E-1,-9.922930598E-1,1.791507125E0,1.094425201E0
4.646209570E-1,-9.896299243E-1,1.799496651E0,1.327718019E0
4.848084570E-1,-8.538088202E-1,1.851161838E0,1.447027445E0
5.049968950E-1,-8.420909047E-1,1.860216618E0,1.460875869E0
5.251862700E-1,-1.080177307E0,1.884185076E0,1.402286410E0
5.453764780E-1,-1.274587989E0,2.146772623E0,1.278715849E0
5.655674160E-1,-1.211204767E0,2.108955622E0,9.452883005E-1
5.857589780E-1,-1.242097378E0,1.808018684E0,6.262418628E-1
6.059510620E-1,-1.325187922E0,1.791507125E0,4.483428299E-1
6.261434570E-1,-1.612809181E0,1.940111399E0,3.300985694E-1
6.463360620E-1,-2.037849426E0,2.089781046E0,1.932121962E-1
6.665394990E-1,-2.639723301E0,2.651174784E0,2.001364082E-1
6.867183530E-1,-3.057306767E0,3.231743574E0,1.623195410E-1
7.068975200E-1,-3.038664579E0,3.000048637E0,-2.197106183E-2
7.270774160E-1,-2.620548487E0,2.571812630E0,3.448791057E-2
7.472583530E-1,-2.293512583E0,2.081791401E0,8.349003643E-2
7.674405410E-1,-2.073535681E0,1.914545059E0,-7.590003312E-3
7.876241870E-1,-6.114613414E-1,2.103629351E0,-3.564638495E-1
8.078094990E-1,7.046719193E-1,1.956090331E0,-9.221188426E-1
8.279964780E-1,3.110569715E-1,1.521995425E0,-1.626790762E0
8.481851240E-1,3.643201590E-1,2.094042063E0,-1.860083461E0
8.683753320E-1,2.785664499E-1,3.514038324E0,-1.572994947E0
8.885669990E-1,-5.262402296E-1,3.391000509E0,-9.109335542E-1
