"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.656418700E-2,-1.793417931E0,2.914840698E0,9.190089226E0
8.683481200E-2,-1.767666459E0,2.833309889E0,9.220525742E0
1.071055420E-1,-1.727371931E0,2.748895645E0,9.253656387E0
1.273762190E-1,-1.673619032E0,2.637596607E0,9.295831680E0
1.476469480E-1,-1.595831156E0,2.485103369E0,9.351361275E0
1.679176770E-1,-1.483141065E0,2.304565907E0,9.415925980E0
1.881884060E-1,-1.341498137E0,2.113112688E0,9.481852531E0
2.084591350E-1,-1.115294695E0,1.892485261E0,9.557457924E0
2.287299170E-1,-8.100385666E-1,1.649381399E0,9.632952690E0
2.490006980E-1,-4.884489179E-1,1.463510275E0,9.684520721E0
2.692714270E-1,-2.081753910E-1,1.395638108E0,9.704599380E0
2.895422080E-1,6.591433287E-2,1.398503304E0,9.706194878E0
3.098129900E-1,3.827165365E-1,1.396626115E0,9.699142456E0
3.300837190E-1,6.879433990E-1,1.358369231E0,9.687722206E0
3.503545000E-1,9.134731889E-1,1.280692339E0,9.679657936E0
3.706252810E-1,1.133427739E0,1.142650962E0,9.673680305E0
3.908960100E-1,1.354348540E0,9.026638269E-1,9.670642853E0
4.111667920E-1,1.465674400E0,5.836746693E-1,9.678920746E0
4.314375730E-1,1.470657349E0,2.339631468E-1,9.692926407E0
4.518375730E-1,1.298886657E0,-3.873322532E-2,9.720174789E0
4.719791350E-1,1.120337605E0,-1.316432506E-1,9.741554260E0
4.922498650E-1,1.112646341E0,-5.155276135E-2,9.743189812E0
5.125206460E-1,1.119817376E0,1.667917818E-1,9.741076469E0
5.327914270E-1,1.133849144E0,4.436375797E-1,9.730773926E0
5.530621560E-1,1.235611677E0,6.718042493E-1,9.705272675E0
5.733329370E-1,1.310250759E0,8.281953335E-1,9.683374405E0
5.936036670E-1,1.301741600E0,9.225150347E-1,9.675992012E0
6.138744480E-1,1.214198112E0,9.896416664E-1,9.680739403E0
6.341451770E-1,1.117008209E0,1.057016611E0,9.685318947E0
6.544159580E-1,1.068526149E0,1.125203609E0,9.683106422E0
6.746866870E-1,1.022954226E0,1.196018577E0,9.679539680E0
6.949574690E-1,9.495599866E-1,1.281573057E0,9.676067352E0
7.152281980E-1,8.654084206E-1,1.400182486E0,9.667520523E0
7.354989270E-1,7.574918866E-1,1.593474627E0,9.646628380E0
7.558989270E-1,6.995128989E-1,1.902386785E0,9.594894409E0
7.760404370E-1,7.558528185E-1,2.332495451E0,9.495184898E0
7.963111670E-1,9.445062876E-1,2.818714142E0,9.345220566E0
8.165818960E-1,1.149273872E0,3.262147188E0,9.176489830E0
8.368526250E-1,1.083301067E0,3.678822994E0,9.025691986E0
8.572526250E-1,8.410270810E-1,4.033189297E0,8.899238586E0
8.773941350E-1,7.411179543E-1,4.253240108E0,8.805172920E0
8.976648650E-1,7.359491587E-1,4.358422279E0,8.754022598E0
9.179355940E-1,7.200549841E-1,4.368227959E0,8.750456810E0
9.383355940E-1,6.883430481E-1,4.308227062E0,8.782695770E0
9.586349690E-1,7.958056331E-1,4.188087940E0,8.831591606E0
9.787483540E-1,9.907998443E-1,4.025901318E0,8.887115479E0
9.990189790E-1,1.111268163E0,3.862280369E0,8.945292473E0
1.019289604E0,9.670318961E-1,3.676354408E0,9.039892197E0
1.039560229E0,6.940755248E-1,3.483344793E0,9.140839577E0
1.059830854E0,4.553157091E-1,3.370399714E0,9.198015213E0
1.080101531E0,3.149695098E-1,3.250444651E0,9.246933937E0
1.100372208E0,3.206036687E-1,3.069134474E0,9.308491707E0
1.120642885E0,4.411542416E-1,2.903391600E0,9.356606483E0
1.140913615E0,6.851112247E-1,2.769555092E0,9.382460594E0
1.161184292E0,9.740074873E-1,2.686885118E0,9.380956650E0
1.181455021E0,1.080026746E0,2.744461775E0,9.352639198E0
1.201725698E0,1.065141201E0,2.811641693E0,9.334372520E0
1.221996427E0,1.080921769E0,2.875613689E0,9.313047409E0
1.242267052E0,1.052585363E0,2.913604975E0,9.304480553E0
1.262537781E0,1.071704865E0,2.949721336E0,9.290908813E0
1.282808458E0,1.196716547E0,2.955353737E0,9.273840904E0
1.303079187E0,1.337795019E0,2.944407463E0,9.258031845E0
1.323349865E0,1.360319853E0,2.926039696E0,9.260574341E0
1.343620542E0,1.461544394E0,2.870418549E0,9.262557983E0
1.363891271E0,1.587240696E0,2.843832254E0,9.250062943E0
1.384161948E0,1.710783005E0,2.863087416E0,9.222057343E0
1.404432625E0,1.838554382E0,2.926628351E0,9.177414894E0
1.424703354E0,2.069488764E0,3.065637827E0,9.082371712E0
1.444974031E0,2.322859764E0,3.230120182E0,8.963315964E0
1.465244708E0,2.544562101E0,3.423474550E0,8.830368042E0
1.485515385E0,2.552590132E0,3.647627592E0,8.737818718E0
1.505786062E0,2.286036730E0,3.925754070E0,8.690965652E0
1.526056740E0,1.883896470E0,4.171219826E0,8.673076630E0
1.546327417E0,2.064867020E0,4.262648106E0,8.586998940E0
