"event","experiment time","system time","system time text"
"START",0.000000000E0,1769581422.759,"2026-01-28 11:53:42.759 UTC+05:30"
"PAUSE",6.260892388E1,1769581485.368,"2026-01-28 11:54:45.368 UTC+05:30"
