"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.244563400E-2,6.644582003E-2,2.743053734E-1,-1.801627129E-1
6.271610300E-2,-8.948214352E-2,1.230379492E-1,-1.195758432E-1
8.298667600E-2,-3.845601678E-1,8.735162020E-2,-1.411474310E-2
1.032571960E-1,-6.384924054E-1,1.496695429E-1,-1.331579522E-3
1.235278730E-1,-8.206524849E-1,1.954758763E-1,-1.464737486E-2
1.437984980E-1,-9.942904711E-1,1.805621833E-1,1.430116445E-1
1.640691230E-1,-1.199220538E0,6.444845349E-2,2.404832691E-1
1.843398530E-1,-1.351553202E0,-1.090563685E-1,2.873548567E-1
2.046104780E-1,-1.446894288E0,-2.139848322E-1,4.912196994E-1
2.248812070E-1,-1.690706611E0,-2.677806616E-1,6.158555150E-1
2.451519360E-1,-1.948500395E0,-3.448791057E-2,7.404913902E-1
2.654188110E-1,-2.555567503E0,-1.809616536E-1,5.013396740E-1
2.856920920E-1,-3.330280542E0,-3.950796425E-1,2.820285559E-1
3.059630820E-1,-3.611510038E0,-2.022669315E-1,2.676474750E-1
3.262340190E-1,-3.408577442E0,1.773663908E-1,2.511359155E-1
3.465047480E-1,-3.258375168E0,3.616569936E-1,1.744369268E-1
3.669049570E-1,-3.590204716E0,6.821681857E-1,2.356895804E-1
3.870465710E-1,-3.785547495E0,9.516798854E-1,2.490053773E-1
4.073174570E-1,-3.287669897E0,1.106675744E0,-8.548741043E-2
4.275882380E-1,-2.528403282E0,1.218395233E0,-4.613923132E-1
4.478591230E-1,-2.165680885E0,1.153414249E0,-3.921501637E-1
4.681299050E-1,-2.317481041E0,7.279745340E-1,-5.299686641E-2
4.884007380E-1,-2.854240656E0,3.920170069E-1,3.488738462E-2
5.086715190E-1,-3.156243086E0,7.221155763E-1,8.815056831E-2
5.289423010E-1,-3.027346134E0,9.048082829E-1,1.568600684E-1
5.492130820E-1,-2.713093281E0,1.007073641E0,2.639190555E-1
5.694838630E-1,-2.360624313E0,1.146489978E0,2.543317080E-1
5.897546440E-1,-1.612942338E0,9.889641404E-1,-1.518000662E-2
6.100254260E-1,-1.184306860E0,8.195872307E-1,-1.545963883E-1
6.302962070E-1,-1.112401605E0,9.591367245E-1,3.009369783E-2
6.505669880E-1,-9.282441139E-1,6.933534741E-1,3.720433414E-1
6.708377170E-1,-6.981471777E-1,5.926860571E-1,9.040093422E-1
6.911084980E-1,-9.852356911E-1,1.448758543E-1,1.423724890E0
7.113792800E-1,-1.255679488E0,-7.922898233E-2,1.817206621E0
7.316500090E-1,-4.431496859E-1,3.589938581E-1,1.022120476E0
7.519207900E-1,7.225150466E-1,9.692567587E-1,-2.270343155E-1
7.721915710E-1,6.447508335E-1,1.565671206E0,-3.016027808E-1
7.924623010E-1,4.904207587E-1,1.517201781E0,-1.348890066E-1
8.127330820E-1,7.459508777E-1,1.835049748E0,5.418196917E-1
8.330038110E-1,1.157009482E0,1.754622340E0,1.105743647E0
8.532745920E-1,1.027180433E0,1.364336371E0,1.117994189E0
8.735453730E-1,6.751108170E-1,7.620629668E-1,1.442366958E0
8.938161030E-1,7.725824714E-1,-5.526055023E-2,2.018008709E0
9.140868840E-1,1.134239435E0,5.326318368E-2,2.531332731E0
9.343576130E-1,1.233175874E0,3.818970025E-1,3.118026733E0
9.546283940E-1,1.150085211E0,1.347558498E-1,3.672895908E0
9.748991230E-1,7.139929533E-1,-2.262353599E-1,3.554784775E0
9.951699050E-1,2.613890767E-1,-4.206459820E-1,3.047319889E0
1.015440686E0,3.386206925E-1,-8.721846342E-1,2.847582817E0
1.035711415E0,6.367613673E-1,-8.098666668E-1,3.171822548E0
1.055982196E0,3.956122994E-1,-7.890940309E-1,2.755970240E0
1.076382196E0,-3.121222556E-1,-1.149019957E0,1.851294994E0
1.096523655E0,-4.882902205E-1,-1.075516820E0,1.749562383E0
1.116794436E0,-3.467433155E-1,-6.042708158E-1,1.733050823E0
1.137065165E0,-3.281011879E-1,-4.850944281E-1,1.505084395E0
1.157335946E0,-2.029327303E-1,-4.877575934E-1,1.339036345E0
1.177735946E0,-2.982738242E-2,-4.727107286E-2,1.212270021E0
1.197877405E0,1.031974182E-1,1.933453530E-1,1.042893052E0
1.218148186E0,2.155827284E-1,1.613874435E-1,1.073253155E0
1.238418915E0,2.821617126E-1,5.086634159E-1,7.708513737E-1
1.258689696E0,6.069339514E-1,1.061934710E0,6.041376591E-1
1.279089696E0,7.933551073E-1,9.239830375E-1,3.358243704E-1
1.299231155E0,7.970834970E-1,1.108273625E0,1.115863696E-1
1.319501936E0,1.019191027E0,1.877127647E0,-5.779055133E-2
1.339772665E0,1.103346825E0,1.470862746E0,-2.984069884E-1
1.360043394E0,6.266413331E-1,1.559279680E0,-3.820301592E-1
1.380443394E0,2.992059290E-1,1.977262497E0,-6.099966168E-1
1.400584905E0,1.356879622E-1,2.192445755E0,-9.459540844E-1
1.420855686E0,-3.296990991E-1,1.882454038E0,-5.205144286E-1
1.441126415E0,-6.363618970E-1,1.475123882E0,-4.613923132E-1
1.461397144E0,-7.641934752E-1,1.495363832E0,-7.105308771E-1
1.481797144E0,-8.270440698E-1,1.044357896E0,-6.265081763E-1
1.501938655E0,-7.578019500E-1,8.628635854E-2,-1.259674281E-1
1.522209436E0,-3.046653867E-1,-2.342248410E-1,-5.938844755E-2
1.542480165E0,2.677806616E-1,1.246358454E-1,-1.217063740E-1
1.562750894E0,3.316964805E-1,-1.904158667E-2,5.008070469E-1
1.583150894E0,6.394245028E-1,-7.784414291E-1,9.704551697E-1
1.603292405E0,1.209207416E0,-1.758217692E0,9.550088644E-1
1.623563134E0,1.988847256E0,-1.229979992E0,2.796317078E-2
1.643841832E0,2.617752314E0,-6.325002760E-2,-8.665919900E-1
1.664197665E0,2.592718601E0,5.336970687E-1,-1.504551768E0
1.684544436E0,2.203497887E0,-7.763108611E-2,-1.417732716E0
1.704797301E0,1.391367435E0,-1.729455471E0,-7.691203356E-1
1.724912040E0,2.922817171E-1,-2.800844431E0,-3.095922470E-1
1.745182665E0,-7.588672042E-1,-2.228398323E0,-2.263685316E-2
1.765458603E0,-7.215829492E-1,-2.203897238E0,-1.538107514E0
1.785729280E0,-4.223770201E-1,-1.809350252E0,-2.504035234E0
1.805999905E0,4.595280886E-1,-1.794969201E0,-1.887913465E0
