"event","experiment time","system time","system time text"
"START",0.000000000E0,1769581935.603,"2026-01-28 12:02:15.603 UTC+05:30"
"PAUSE",1.161070398E2,1769582051.710,"2026-01-28 12:04:11.710 UTC+05:30"
