"event","experiment time","system time","system time text"
"START",0.000000000E0,1769581521.827,"2026-01-28 11:55:21.827 UTC+05:30"
"PAUSE",5.841362826E1,1769581580.240,"2026-01-28 11:56:20.240 UTC+05:30"
