"event","experiment time","system time","system time text"
"START",0.000000000E0,1769576139.027,"2026-01-28 10:25:39.027 UTC+05:30"
"PAUSE",8.750504434E1,1769576226.532,"2026-01-28 10:27:06.532 UTC+05:30"
