"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.653521300E-2,-3.812167645E0,5.802347660E0,7.308300495E0
3.672500500E-2,-3.297414303E0,5.663484097E0,7.612364292E0
5.691573400E-2,-3.120243311E0,5.792770863E0,7.914033890E0
7.710729600E-2,-3.022081137E0,5.902904510E0,7.744045258E0
9.729969200E-2,-2.639008760E0,5.529408932E0,7.667430878E0
1.174927130E-1,-1.947084546E0,5.167884350E0,7.724891663E0
1.376862550E-1,-1.307832718E0,5.170278549E0,8.067262650E0
1.578801090E-1,-1.391629696E0,5.155913353E0,8.656236649E0
1.780741710E-1,-1.293467522E0,5.170278549E0,8.725667953E0
1.982790670E-1,-7.739257216E-1,5.234921932E0,8.380903244E0
2.184591710E-1,-6.733692288E-1,5.292382717E0,8.196549416E0
2.386395880E-1,-6.613982320E-1,5.072116375E0,8.208520889E0
2.588207340E-1,-5.201402903E-1,4.705803394E0,8.067262650E0
2.790029210E-1,5.404910445E-1,4.981136799E0,7.475894928E0
2.991863590E-1,1.433528304E0,4.562151432E0,7.451952934E0
3.193712550E-1,1.830965757E0,4.030638695E0,8.230068207E0
3.395578170E-1,2.101510525E0,3.925293684E0,8.313865662E0
3.597460460E-1,2.522890091E0,3.989937067E0,7.665036678E0
3.799359420E-1,3.099892616E0,3.965995073E0,6.877344608E0
4.001275050E-1,3.930680752E0,3.738545895E0,6.877344608E0
4.203206300E-1,4.146158695E0,3.005920172E0,6.599617004E0
4.405151090E-1,4.684854031E0,1.856703401E0,6.487089634E0
4.607106300E-1,4.821323872E0,1.358709455E0,6.817489147E0
4.809069840E-1,3.437475204E0,2.302024841E0,7.377732754E0
5.011038590E-1,2.403179884E0,2.400187254E0,8.661025047E0
5.213009420E-1,2.182913303E0,1.660378933E0,1.024838066E1
5.414977130E-1,2.601898670E0,8.152256608E-1,1.020049667E1
5.616876090E-1,2.640205860E0,5.877765417E-1,9.556455612E0
5.818720880E-1,2.898779631E0,5.446808934E-1,9.661801338E0
6.020569840E-1,2.405574083E0,1.052251697E0,1.014542961E1
6.222424010E-1,2.194884300E0,1.100135684E0,1.040400314E1
6.424285460E-1,2.352901697E0,4.465186298E-1,9.470264435E0
6.626155260E-1,2.721608877E0,6.500257850E-1,8.696937561E0
6.828034420E-1,2.870049238E0,5.877765417E-1,7.703343868E0
7.029922960E-1,3.336918592E0,-8.020575345E-2,7.358579159E0
7.231820880E-1,4.356848717E0,-3.914519846E-1,8.785523415E0
7.433728170E-1,3.380014181E0,-1.316810958E-2,9.443928719E0
7.635643800E-1,3.253121614E0,5.518634915E-1,9.218873978E0
7.837566710E-1,5.343259811E0,9.301473498E-1,1.037287903E1
8.039495880E-1,7.739855766E0,1.040280581E0,1.062187576E1
8.241430260E-1,8.620922089E0,1.313219666E0,9.712079048E0
8.443367760E-1,8.472481728E0,1.818396211E0,7.389703751E0
8.645307340E-1,8.142081261E0,2.155978680E0,5.601234913E0
8.847355260E-1,7.823652744E0,2.146401882E0,4.990713596E0
9.049159420E-1,8.106168747E0,1.825578809E0,4.590881824E0
9.250966710E-1,8.266579628E0,1.389834046E0,4.322731018E0
