"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.469745000E-2,-1.856370449E0,1.778060317E0,9.463762283E0
6.483567900E-2,-1.781458855E0,1.639259219E0,9.503138542E0
8.510411600E-2,-1.747051954E0,1.463608503E0,9.538135529E0
1.053725540E-1,-1.746033072E0,1.288361907E0,9.563570976E0
1.256410430E-1,-1.723292589E0,1.134329915E0,9.587175369E0
1.459095330E-1,-1.639846206E0,9.646473527E-1,9.620329857E0
1.661780220E-1,-1.450258732E0,7.025237083E-1,9.673345566E0
1.864466160E-1,-1.208890319E0,3.312706947E-1,9.726212502E0
2.067151580E-1,-9.864177704E-1,-9.457317740E-2,9.756455421E0
2.269837000E-1,-7.385854721E-1,-5.573046803E-1,9.762904167E0
2.472522410E-1,-4.161545038E-1,-1.076920748E0,9.738451958E0
2.675208350E-1,-1.678008139E-1,-1.616444230E0,9.671055794E0
2.877893770E-1,-4.523612559E-2,-2.093306303E0,9.580522537E0
3.080580220E-1,-8.564303070E-2,-2.440296412E0,9.497789383E0
3.283266160E-1,-2.235740274E-1,-2.696061850E0,9.426115036E0
3.487266160E-1,-4.241985679E-1,-2.942570686E0,9.345143318E0
3.688638040E-1,-8.438698649E-1,-3.168895483E0,9.242097855E0
3.891323970E-1,-1.221535683E0,-3.303812981E0,9.152215958E0
4.094009910E-1,-1.327863336E0,-3.353375196E0,9.119322777E0
4.296695850E-1,-1.265032411E0,-3.401048660E0,9.110595703E0
4.500695850E-1,-9.471923113E-1,-3.419383049E0,9.142266273E0
4.702067720E-1,-3.732370734E-1,-3.351204872E0,9.208719254E0
4.904753140E-1,1.368985474E-1,-3.238764048E0,9.255378723E0
5.107439080E-1,5.489283204E-1,-3.193969011E0,9.255681038E0
5.310124500E-1,8.271990418E-1,-3.037059069E0,9.287755013E0
5.514124500E-1,1.277055502E0,-2.784945250E0,9.315771103E0
5.715496370E-1,1.856658936E0,-2.483668804E0,9.303471565E0
5.918182310E-1,2.425861597E0,-2.202804565E0,9.243010521E0
6.120868250E-1,2.832207203E0,-1.971921802E0,9.179352760E0
6.323553660E-1,3.135626078E0,-1.780093193E0,9.119731903E0
6.527553660E-1,3.470460415E0,-1.563335299E0,9.037824631E0
6.728925540E-1,3.655613184E0,-1.380906820E0,8.994441986E0
6.931611470E-1,3.684035540E0,-1.279216766E0,8.997881889E0
7.134296890E-1,3.661303997E0,-1.228567004E0,9.014204025E0
7.336982830E-1,3.631322622E0,-1.177486777E0,9.033127785E0
7.536141160E-1,3.660944700E0,-1.101783633E0,9.030722618E0
7.740141160E-1,3.737622976E0,-1.010504484E0,9.009963036E0
7.944141160E-1,3.929520130E0,-9.286477566E-1,8.936826706E0
8.147748970E-1,4.202831745E0,-8.644844890E-1,8.818120956E0
8.350424500E-1,4.370967865E0,-8.560026288E-1,8.736835480E0
8.553107310E-1,4.417640686E0,-9.178937674E-1,8.707026482E0
8.755791680E-1,4.427293777E0,-1.005607486E0,8.692422867E0
8.958475020E-1,4.428044319E0,-1.064330220E0,8.685045242E0
9.161159390E-1,4.455210209E0,-1.071040154E0,8.670314789E0
9.363844810E-1,4.548477173E0,-1.038624525E0,8.625717163E0
9.566529180E-1,4.627557755E0,-9.426273108E-1,8.594623566E0
9.769214600E-1,4.724112511E0,-8.289762139E-1,8.553709984E0
9.971899500E-1,4.930356026E0,-7.694373131E-1,8.442152977E0
1.017458491E0,5.220871925E0,-7.195617557E-1,8.270133972E0
1.037726981E0,5.536204815E0,-6.632741690E-1,8.067273140E0
1.058126981E0,5.888902187E0,-6.606888175E-1,7.813751698E0
1.078264064E0,6.308876038E0,-7.053282261E-1,7.474690437E0
1.098532658E0,6.741589069E0,-7.478987575E-1,7.082515240E0
1.118801252E0,7.115554333E0,-8.013648391E-1,6.700528145E0
1.139069793E0,7.474414349E0,-8.508477807E-1,6.291229725E0
1.159338387E0,7.818243027E0,-8.673149943E-1,5.856042862E0
1.179606929E0,8.085569382E0,-8.750730753E-1,5.479799747E0
1.199875522E0,8.255698204E0,-9.157078862E-1,5.212993622E0
1.220144064E0,8.413423538E0,-1.027148843E0,4.932509899E0
1.240412658E0,8.607964516E0,-1.182682514E0,4.546931267E0
1.260681147E0,8.804968834E0,-1.319347501E0,4.111235142E0
1.280949741E0,8.954788208E0,-1.376628876E0,3.753270626E0
1.301218283E0,9.072280884E0,-1.354652166E0,3.468288183E0
1.321486877E0,9.139220238E0,-1.351936221E0,3.288968325E0
1.341755418E0,9.180741310E0,-1.256674767E0,3.210160971E0
1.362024012E0,9.205664635E0,-1.060341954E0,3.209643126E0
1.382292554E0,9.173703194E0,-8.685588837E-1,3.355466366E0
1.402561147E0,9.057405472E0,-5.293772817E-1,3.722037554E0
1.422829741E0,8.853919983E0,-5.406711623E-2,4.216107845E0
1.443101564E0,8.562275887E0,4.593524337E-1,4.758866310E0
1.463366877E0,8.248160362E0,1.012587428E0,5.207004070E0
1.483635470E0,7.945652485E0,1.544580817E0,5.536358833E0
1.503904012E0,7.658503056E0,2.008603811E0,5.786468983E0
1.524172606E0,7.381256580E0,2.464327812E0,5.967790604E0
1.544441200E0,7.089501858E0,2.928683281E0,6.110005379E0
1.564709793E0,6.705679417E0,3.290855169E0,6.354094505E0
1.584978335E0,6.309814930E0,3.429792643E0,6.677810669E0
1.605246929E0,5.938788414E0,3.496022463E0,6.977034569E0
1.625515522E0,5.562430382E0,3.632710934E0,7.213402748E0
1.645784116E0,5.235854149E0,3.854069471E0,7.341822624E0
1.666052710E0,5.063010216E0,4.074536324E0,7.344009399E0
1.686321304E0,4.976388454E0,4.212370396E0,7.325427532E0
1.706589897E0,4.857250690E0,4.272982121E0,7.370150566E0
1.726858491E0,4.661083221E0,4.304913998E0,7.477460384E0
1.747127085E0,4.423139095E0,4.338848114E0,7.601357460E0
1.767395627E0,4.148518562E0,4.419253826E0,7.709108829E0
1.787664272E0,3.778062582E0,4.586438179E0,7.801359653E0
1.807932918E0,3.371850252E0,4.859881401E0,7.821928978E0
1.828201512E0,3.077693224E0,5.201678276E0,7.722740650E0
1.848601512E0,2.957308054E0,5.598790646E0,7.488541603E0
1.868738752E0,2.871322155E0,6.025081158E0,7.185004711E0
1.889007345E0,2.735394239E0,6.405248165E0,6.903679848E0
1.909275991E0,2.717461824E0,6.586000919E0,6.738723278E0
1.929544637E0,2.716004133E0,6.624209881E0,6.701757431E0
1.949944637E0,2.755425453E0,6.542977810E0,6.765165329E0
1.970081877E0,2.856352806E0,6.389240742E0,6.869441986E0
1.990350522E0,3.050709009E0,6.146750927E0,7.005784988E0
2.010619116E0,3.374171495E0,5.852585793E0,7.108627319E0
2.031006512E0,3.846778631E0,5.589288235E0,7.080433369E0
2.051314325E0,4.269273281E0,5.456006050E0,6.940870762E0
2.071425627E0,4.558876514E0,5.438135624E0,6.768581867E0
2.091694220E0,4.834010601E0,5.430300236E0,6.581380844E0
2.111962762E0,5.192367077E0,5.307554722E0,6.406213284E0
2.132231304E0,5.711353302E0,5.016921997E0,6.195266724E0
2.152499950E0,6.283808231E0,4.684411049E0,5.894101620E0
2.172768491E0,6.667784691E0,4.448489666E0,5.649952888E0
2.193037137E0,6.821840763E0,4.346470356E0,5.544463158E0
2.213305731E0,6.904399395E0,4.278407574E0,5.494987488E0
2.233574377E0,7.068147659E0,4.132039070E0,5.397954941E0
2.253974377E0,7.371912003E0,3.829505444E0,5.211544037E0
2.274111720E0,7.776534081E0,3.395950317E0,4.915630817E0
2.294380418E0,8.126763344E0,2.962979555E0,4.620266438E0
2.314649064E0,8.352646828E0,2.612063885E0,4.425021648E0
2.334917762E0,8.568937302E0,2.343120813E0,4.153731823E0
