"event","experiment time","system time","system time text"
"START",0.000000000E0,1767026901.088,"2025-12-29 22:18:21.088 UTC+05:30"
"PAUSE",7.698326403E1,1767026978.071,"2025-12-29 22:19:38.071 UTC+05:30"
